,verified,month_year_fly,country,aircraft,type,food,money_value,recommended,review
505,True,2022-03-01,United Kingdom,Boeing 777-200,Couple Leisure,1.0,2,False,"British Airways are in the process of upgrading all its 777 fleet to the new Club Suite, but BA59 had the 16-yrs-old, packed-like-sardines Club World product. The lounge at CPT was also bursting at the seams and food orders were so behind that many passengers had left by the time their food arrived. On boarding, we were surprised to find that the menu, amenity kit and bottle of water had already been placed in the storage drawer. We suspect this is another cynical time-saving initiative on the part of BA. Frustratingly, the menu turned out to be incorrect and the replacement dishes were probably the worst we have ever encountered in any business class on any airline. The drinks run was cancelled without any warning on the spurious basis of a passenger with a nut allergy. It's hard to avoid suspicions that cabin crew were being economical with the truth. Apart from a rather turbulent ride, the flight was otherwise uneventful and arrival was slightly ahead of schedule. Baggage handling was, however, atrociously slow."
509,False,2022-03-01,United Kingdom,,Couple Leisure,1.0,2,False,The food was awful. An over night early morning flight started with the offer of a terrible chicken wrap thing. Terrible. Then went to a Traditional Breakfast with disgusting sausage and inedible hash brown's. Such rubbish on BA.
510,True,2022-03-01,United Kingdom,Boeing 787-900,Solo Leisure,1.0,2,False,"I really can’t believe they have the audacity to call this First Class. The check in staff at Singapore were abrupt and unhelpful. The official BA lounge in Singapore was closed, so they’re using a cheap generic alternative, which anyone can pay twenty pounds to go in. Suffice to say it was not pleasant. Onboard was like being in the middle of a bad comedy sketch. I can not believe the two stewardess have ever had any first class training. I had to ask for slippers. The first drink took nearly an hour to arrive, despite only having 8 passengers to serve between the two of them. The poor woman sat next to me ordered a wine, which came filled to the brim. I mean it’s First Class, not a student house party. Neither had any knowledge of the wines on the menu. Most of the food was awful. My steak was dry, over cooked and tough, and whichever catering manger signed off on a canapé of soggy mushroom on top of a chunk of polenta should be sacked immediately. I will say, the cheese and port were nice. However the worst thing was the constant galley noise. There was a cart stowage immediately in front of my seat (1K) which they were in and out of all night, and appeared incapable of shutting without slamming. They also seemed to have stored their personal belongings in to the bin immediately above my seat, so we’re in and out of that as well. I will say the seat itself is very well designed, but personally I’m happy in Club and would never do First again."
513,False,2022-03-01,United Kingdom,,Couple Leisure,2.0,3,False,"We will never use BA again for a long haul flight. Our experience of the flight from LHR-MLE wasn’t too bad, apart from a screaming child but the return wasn’t a good experience. We weren’t provided with a drink when we boarded as we were forgotten and that happened a few more times during the flight. I think the crew in Premium Economy were very young and not very experienced, leaving the experienced ones in Business/First. Actually, I think BA only care about the Business/First customers now with the cabins getting larger for those classes. They ran out of food choice 8 rows back in our cabin (it’s not a large cabin), ran out of wine straight after the food service and we had no food for 7hrs apart from a couple of biscuits, one of those we had to go and get from the kitchen. We weren’t fed until 1.5hrs before we landed (it was a 11.5hr flight) and then it was a soggy roll containing 2 slices or cucumber and 2 slices of tomato! BA just don’t care anymore about the little people."
517,True,2021-08-01,United Kingdom,A321-neo,Business,2.0,2,False,"Absolutely shambolic customer service. The lounges at Heathrow are outdated and the service was terrible, waited over an hour for my chosen food/drink order to be brought to me. Ended up getting it myself and told off for doing so. On board product is average."
521,True,2022-02-01,United Kingdom,A320,Couple Leisure,1.0,1,False,"British Airways continues to go downhill. We flew business class and the experience was like economy from 20 years ago except you can have a glass of champagne. We were packed in full 3x3 seats because of IT issue the day before. Even if weren’t, the Seat pitch and width is the same as economy. Gone are the little pretend tables in the middle seat to give some illusion of style. The food was dreadful. The in flight service was unsophisticated. BA used to have an acceptable European business class. They don’t any more. Other European airlines offer much better in flight experience in business class in comparison. BA is taking premium and frequent flyers for granted and treating us like mugs. How I miss the politeness of old BA business class from around 5 years ago, how I used to look forward to it, the small gestures like hanging up a coat, giving you a hot towel, having nice food, being served from the galley, rather than from the manky trolley. COVID is not the reason - this is years of cost cutting and the result is dreadful."
534,True,2022-01-01,United Kingdom,Boeing 777,Couple Leisure,2.0,3,True,"Boarding was slow and uncomfortable on account of the lack air-con at the gate. The Club Suite cabins were about 3/4 full, but the rest of the plane can't have been much more than 20% occupancy. Whether this is the reason why cabin crew on the flight were cut to the bare minimum is hard to say, but they certainly had to work hard covering multiple cabins. Despite that, the drink and food service in business was efficient, and the current policy of serving all courses at once meant that dinner was done and dusted two hours after take-off, which is a real bonus on a night-time flight. However, the quality of the food remains mediocre at best and the pasta dish was almost inedible. The Club Suite is a big improvement on the ancient CW product, although storage is a funny arrangement of tiny compartments that invite losing a smartphone or two. One definitely misses the drawer at foot level in old CW. The large screen really improves the viewing experience and the whole IFE system was much more responsive. The new seats don't significantly aid sleeping, particularly as there's an obvious ridge at the level of the base of the spine. Waking up two hours before touchdown is definitely to be recommended in order to get breakfast over and to avoid the usual queues for the toilets. Performance of the flight deck was up to its usual high standard and arrival was twenty minutes ahead of schedule. Progress through border control was speedy but baggage collection was delayed for unspecified reasons. Overall, a good flight."
545,True,2021-12-01,United Kingdom,A319,Business,1.0,1,False,"In Glasgow one check in desk open. Huge queue with no business check in. It took me close to an hour to bagdrop. Getting onto the aircraft in Glasgow, no hello from the crew and the same getting off.  I normally find BA cabin crew very nice. Breakfast was a very tired looking croissant.  I used the BA lounge in Terminal 3. Not very keen on the new table service. Poor choice and miniscule portions. Lounge staff were very nice in both directions. On arrival at LHR there was a coach transfer from T5 to T3. We were packed in like sardines. So much for social distancing. The flight from LHR to Pisa was delayed and once we boarded we sat on the aircraft for another 2hrs 30 mins. Captain advised us that there was no tow truck for push back and when it did eventually arrive there were no baggage handlers to load the containers. No drinks or anything offered while we waited. Food was not even worth mentioning. As far as Club Europe goes it's not worth the extra cost. No priority baggage as mine were last onto the belt in Pisa, seats are economy seats with the centre one blocked off. The first officer summed it up when we arrived in Pisa- Sorry folks this trip was a pretty poor show by BA, and he was right. For the return trip on Hogmanay we left on time. I've never been on a flight to or from Pisa which has left in time. Pisa lounge is nice enough but the food choice is laughable. On board I gave the food a miss.  Heathrow back to Glasgow Flight left on time. Food was an antipasto of some sort which I declined.  Both cases were last off again. Club Europe is really not worth the money as you are in an economy cabin. I would have thought that BA would do more about their food and onboard service since the cabin is what it is."
546,True,2021-12-01,United Kingdom,Boeing 777,Couple Leisure,2.0,3,True,"After two years of being unable to fly to our second home in South Africa because of COVID, it was fantastic to be back on board a BA flight to CPT, and in the Club Suite seats (1K and 2K) to boot. These seats are a huge improvement on the old yin-yang CW seats in terms of privacy, ease of access and the IFE screen, but the cabin still felt densely occupied and the seats were just as uncomfortable when lying flat. Storage was a mixed blessing, too, with three rather fussy little compartments rather than the decent sized drawer in the old CW, meaning that a laptop would have to be stored above. The food onboard was woeful, although serving all three courses at the same time does at least mean that the dinner service isn't dragged out. Cabin crew went about their business dutifully but with little enthusiasm, and there were the usual queues for the toilets. The flight itself was uneventful and landing was more or less on time. CPT had an efficient arrangement for checking forms immediately after leaving the airbridge and there were no queues at immigration. It was good to be back!"
568,False,2021-11-01,United Kingdom,A320neo,Couple Leisure,1.0,1,False,"Outbound, seated in row 10, I was told they had run out of my chosen food option (shepherd's pie), so I had to settle for gnocchi. The steward had the temerity to blame the food supplier - as if BA could not get a better one! On the return, boarding from the back, not by priority, then, seated in row 12, I had the last half glass of champagne (only because one of the other passengers in row 12 had declined). Food was rigatoni with vegetables. Overall, penny pinching by BA in club class. Dreadful - not for us again."
576,True,2021-10-01,United Kingdom,A321,Family Leisure,2.0,3,True,"Flight from Larnaca to LHR. Check in was ok. The lounge was an Aspire lounge and shared, it was basic but ok. Flight left 20 minutes late but made up time en route. There were 13 rows to the business class cabin on this A321. Service was ok but it was quite expensive for the product offered. It’s a long sector and the food wasn’t great. Drinks were ok but the staff kept going on about a lack of glassware, not really interested if I’m being honest when we’ve paid a lot of money for it. Staff were friendly and as responsive as they could be. Club Europe is fine for flights less than three hours but not for longer. The seats are not so comfortable. Not dreadful but something for BA to think about."
633,False,2021-01-01,United Kingdom,Boeing 787-9,Business,1.0,3,False,"I was travelling back from Mexico City on a business trip. Fully aware of the covid safety restrictions at the moment, which the staff do an admirable job with - but nevertheless a lot to say on the state of BA First at the moment. Firstly - no lounge at all at Mexico City Terminal 2. There's a paid lounge, but the check in staff wouldn't help with the details. Mexico City Terminal 1 has functional lounges for AeroMexico working. Not good enough for an expensive ticket. Finally got to board and the staff are incredible - but throughout they were super apologetic as to what was to come. The food was literally inedible in First and staff offered commented as much every time. So for an 11 hour trip in First the option really was chocolate or crisps. The first suite on the flight had visible signs of wear and tear and needs some attention. The seat would not easily convert to a bed. It had scuff marks around it and generally looked a bit shabby. Again, not what you'd expect from a premium product. I left my watch on the flight in error and contacted BA immediately about this. Despite assurances that they have a comprehensive cleaning process during Covid my watch was never found. BA has outsourced their lost and found service to a separate company and in the process they have completely washed their hands on helping out customers. Given that I told them specifically where I'd left the watch I can only assume that one of the cleaning staff decided to keep it. All in all, you pay premium on a flight for additional service. BA isn't offering it at the moment. If it is essential that you have to fly really don't bother with first unless you have to - or go to another airline. The company just don't care."
638,True,2020-07-01,United Kingdom,A350,Solo Leisure,1.0,5,False,"Dubai to London on 5th December. Flight was ok - seat comfortable enough, crew reasonably friendly but my food was gross.  Both flights almost full with little social distancing and plenty of mixed groups sat next to each other. Lots of passengers with masks below nose or not on at all. When coming back to Heathrow many seemed to have below their nose. Announcement made at the beginning about masks. Crew challenged a couple of people at beginning of flight for not having them on or below nose but seemed to give up at the end. When leaving plane good number had already taken off yet nothing. On way back not a single maskless or incorrectly worn mask challenged. A guy opposite me had his mask below nose the whole flight. He had a conversation with several attendants neither of whom said anything.  Not like the crew were busy either, did 2 services the whole flight then rest of the time didn’t see them. Of course flying in these times is a risk but those risks can be reduced by passengers wearing masks, enforced by the airlines."
678,True,2020-03-01,United Kingdom,Boeing 747-400,Business,1.0,1,False,"Lower Deck Club Class seat, with the current awful, narrow business class facing seats. British Airways premium passengers are treated with indifference at best, and Club Class is simply terrible. My food was not fit for consumption. WIFI broken. Crew morale low. IFE quality a bad joke. To add insult to injury, the  amenity packs are contemptible. What makes BA management think that business people require, (or indeed would retain) a package of socks, mask, plastic pen, and disposable tooth brush? The ongoing decline of this once-great national airline is palpable."
679,True,2020-02-01,United Kingdom,Boeing 747-400,Business,1.0,1,False,"London to New York JFK. Another grim flight with British Airways in Club Class, on a tired and old B747-400. The Business Class at BA is by far the worst in the industry. The dreaded ying / yang configuration is going to be with us for some time, sadly. In flight entertainment with tiny screen, no HD, and poor movie selection. WIFI did not work, as usual. Food continues to be desperately poor, and crew were rather keen to disappear quickly. This airline needs major overhaul, and investment in new aircraft and seats."
693,True,2020-02-01,United Kingdom,Boeing 777,Solo Leisure,1.0,3,False,"London Heathrow to Nairobi. BA First is so much weaker than that of Middle Eastern and Asian airlines, I despair. The brightest spot of this trip was being able to use the CX lounge at Heathrow T3. To cram 14 first-class seats onto a 777 is quite an achievement. But it is the food that is the standout problem on board. It is poor and it is shameful that our flag-carrier represents Britain so badly in this regards. Conversely, the flight attendants were excellent in both directions. I only flew First because BA's business class is so poor. But never again."
695,True,2020-02-01,United States,,Couple Leisure,1.0,3,False,"London to Cape Town. Gone are the days in which British Airways was a great airline. Weird seat configuration, service that needs training, horrible food and no internet in business class are  basic services offered by most of the airlines but not by BA."
706,True,2020-01-01,United Kingdom,Boeing 777-200,Business,2.0,1,False,"Las Vegas to Gatwick. A very disappointing service for Club World, it felt like I was travelling in economy (with attitude). Especially considering the very high cost of the flight (I've paid half as much less for business class returns to Australia). We got off to a bad start when offered one third of a glass of champagne (about 2 cm in the bottom of the glass). My initial drink after take off was not what I ordered, when I queried it, I got a lecture on this was how it should be. No wine arrived with dinner, until I asked for it a second time (out of stock of the first choice), no second glass of wine offered. Yes, I could have used the call button, but 1/3 of a glass of champagne and one glass of wine being offered on a 10 hour business class flight? Other than the initial bottle of water, and a glass of water with dinner, no other water was offered until I got up and went to the galley to ask. The good news is the food was good and well presented. Although the promised (on the menu) selection of pastries with breakfast were not served (I later walked past the galley to see the crew eating them for their own breakfast). We had dutifully filled in the pre-order card for breakfast, only to find we were being asked again at breakfast. Sleeping was impossible due to the temperature being so high, I actually thought I had a fever (I was so drenched in sweat) until I spoke to a colleague who was the same. I'm used to flying ultra long haul with Middle Eastern airlines, so I'm used to hot cabins, but this was crazy. Only when the crew dropped the temperature a few hours before landing (presumably to wake us up), was it bearable enough to sleep. Combined with the a very dry cabin air, it was very unpleasant. No need to say anything much about the eight across seating as I know the seats are being upgraded over the next few years, other than they are very cramped if sitting next to a window. I do like the semi-reclined position for take off and landing though. I have fairly big shoulders and found the seat width very restrictive. There is nowhere to put your spectacles or bottles of water if lying down. Being on the second aisle, we had to join in with the economy passengers queuing to disembark, so it wasn't quick. At no point did any member of the cabin crew introduce themselves other than via a general PA announcement. The seats I can forgive as they are being addressed, but the service was budget airline level. Really BA, you need to do much, much better. The ground staff in Las Vegas were fast, friendly and efficient. The lounge was something from the dark ages, all 1970's wooden panels."
722,True,2020-01-01,United Kingdom,,Business,1.0,2,False,"London to Bangkok. It's not what it used to be but most importantly, it does not deliver what it promises any longer.  Disappointing food, outdated and uncomfortable seats, appalling baggage handling at LHR, and  mediocre crew service onboard. The customer service online is just as bad. My most recent experience was early January 2020 when they put me next to a couple with a newborn baby in Club World on an overnight flight from LHR to BKK. Baby screams, could not sleep and as the cabin was full, they could not move me. The couple was very nice, apologetic and we just had to bear the 12 hours long haul flight together. However, my dealings with customer service was appalling. When is BA going to offer a kids free zone in Club World for people who need to work or sleep?"
725,True,2020-01-01,United Kingdom,,Solo Leisure,1.0,2,False,Gatwick to Cancun. Flight was late. My food was bad and it was not possible to change. I paid for the internet which did not work for me most of the time. Was advised to report but no instructions to where or how.
764,True,2019-11-01,Belgium,Boeing 777,Business,2.0,3,False,"Brussels to Bangkok via London. Club World from London to Bangkok on 17 Nov 2019, seats 15C and 15D. It was a Boeing 777, with a 2-4-2 seat configuration in the business cabin, which gives the cabin a crowded impression. The seats are comfortable, with a flat bed (+mattress!), good selection of entertainment, although a rather small screen. The food menu offers different choices of starters, main course and desserts. The food was disappointing, I had smoked salmon as a starter, and British Beef as main course. My soup was cold, mybeef was overcooked) and quantity was economy class-like. The service is very friendly, but not personal. I’m used to be adressed by my name when I fly business class.  While serving the meals, they forget serving me wine. The amount of cabin crew is not enough for a crowded business class cabin. After dinner I went to sleep. The seat is turned into a real bed, with an extra mattress and a good pillow. The space is narrow, it is difficult to make the bed. Once the bed is made, there is no place to put  personal stuff. I had a real good night of sleep though. If your seat is not at the aisle, you have to step over someones legs to go to the toilet. The toilets are small and simple, not cleaned frequently enough. When I woke up, breakfast service was running.  The breakfast is good.  Yoghurt, pastries, fresh fruit, and a full English Breakfast. Overall, British Airways World Club is a rather standard Business Class, lacks personalized attention and lacks the feel good experience.  If BA wants to compete, they have a long way to go. I hope they can make it up a bit on our return flight."
806,True,2019-10-01,Argentina,Boeing 787,Solo Leisure,2.0,1,False,"Kuala Lumpur to Glasgow via London. The service started, first some drinks. On my aisle was a female attendant and a young male attendant.  I asked for an ale, the attendant pretended not to understand what I was asking for. I repeated many times the word ale with my Spanish accent, but she still did not catch it. The male attendant said “like an IPA”, I answered “yes”.  I changed to a beer and she offered me Amstel or Heineken, I chose Amstel and had to ask for ice  to make it drinkable. When the service was finished the female attendant collected the empty bottles and cans and glasses but skipped me. For the meal I chose the beef and asked for a beer. The male attendant realized that the empty can was still there, took it. With the food on my and no drinks I started to eat, after ten minutes it was obvious that the beer was not coming, so I stopped another attendant going to Business class and he came back with an option of Tiger or Heineken lager. The female attendant offered me coffee but she did not mention it was normal coffee and in the menu it said that decaf was available if you specifically request that. ABreakfast I was offered tea or coffee (even decaf), I accepted, but there was no milk or cream for me."
812,True,2019-09-01,Argentina,Boeing 777-200,Couple Leisure,1.0,1,False,"Buenos Aires to London Heathrow rwturn. The aircraft is very old, cabin configuration is very old and tired. IFE screens have not been changed since they were first installed. My Ipod has a larger and more responsive screen. Before taking off in Buenos Aires, some pax, but not all, were offered water or orange juice. I never got any. After take off, drinks were offered, followed by a hot meal. Food choices ran out in the first row. Seats were uncomfortable, footrests were jammed. On the return flight, sparkling wine and water were offered before take off, followed by drinks and the meal I had chosen online was a beef stew with mashed potatoes. Poor movie choices, miniature screen and uncomfortable seats. Crew OK. No indication as to which toilets to use, either forward in business class or rear economy. Having flown Norwegian on their B787 in their premium cabin on the same route, BA is a waste of my money."
841,True,2019-09-01,United States,,Couple Leisure,1.0,1,False,"Los Angeles to Istanbul via London. Flight between London and Istanbul is like coach, no TV and small leg room. Transatlantic business seats are very narrow and mine did not become a complete bed. Food was below average. The Heathrow BA business lounge was a cramped, tasteless, dirty lounge . It took us 25 min to find two chairs to seat. Food was  awful and service is even worst. When we wanted to change our departure date by a few days we had to pay a penalty of $500 plus fee change, so we ended up paying $800 per person in addition to the fare already paid."
845,True,2019-09-01,United Kingdom,,Couple Leisure,1.0,1,False,"Hong Kong to London. An email on the 25th August advising us that this flight was cancelled and the hours spent on hold never speaking to anyone, what a total awful nightmare. Then the email at 6.00pm saying I must be delighted to find out my flight has not been cancelled. All slots in the Elemis Salon were already booked so no massages were available in First Class. Arriving at HK airport on the return journey and struggling even to get from the pavement to the inside of the terminal (why did they not tell us to print out proof of travel??). We had to wait ages for BA to open a check in desk, pretty average food and service in the Qantas lounge. A broken screen in seat 59A (it would not stay in position and without wedging, unusable to constant interruptions during the flight to my partner from a large passenger climbing over him. A ghastly sweet and sour chicken main course which made me send my tray away and not eat until after leaving the flight. Cheapest goodies bag with the broken zip and my suitcase was the very last off the plane. I had already been to the BA desk and reported it when it then eventually turned up on the conveyor belt. First class out to HK was a good business class experience, the return flight in business class was in a word poor. The plane was tired, IFE faulty, poor food and the journey was only saved by the quality of the staff, they were lovely - but if you give them rubbish tools they will serve rubbish. The night term pantry offering was a total joke. I have been a BA Exec card holder since for ever and I have seen is a decline in the service level. Certainly not value for money, we did not get a Club class experience on the flight home."
856,True,2019-08-01,United Kingdom,A320,Couple Leisure,1.0,1,False,"London to St Petersburgh. Huge disappointment for BA business class service in European routes. Seat pitch has been reduced to 30"" over the last years (from 34"") at the expense of passenger comfort. Seat width is the same as economy with empty middle seat. Food for me was half-empty plates representing a deli experience, and leaving me hungry. Out of the three options offered, two were already out of stock, so stranded with the least favourable and most unhealthy food option. Avoid Club Europe, not worth the money."
858,True,2019-05-01,Australia,Boeing 777,Business,1.0,3,False,"Sydney to London via Singapore with British Airways. I made the mistake of ordering vegetarian meals on this flight - the food was horrendous, I was served an indistinguishable uniform mass of what appeared to be mashed, overcooked potatoes (and maybe other vegetables, I am not sure) for one meal and an ice cold frittata/sandwich which should clearly have been heated up. The latter I took one bite and couldn't continue. I have had better meals in economy class in other airlines. The seat was nothing to write home about, but noticeably comfortable compared to economy class (with the price difference to match of course). The service was lacking and quite perfunctory when it is available. On the plus side, I am glad there are shared toilets between business and premium economy class at the front of the cabin, instead of having to walk all the way to the back of the plane like some other flights. Paid for in-flight wifi for an a hour - disconnected after 40 minutes and no longer able to use. Reasonable price and speed."
859,True,2019-08-01,United Kingdom,,Family Leisure,2.0,1,False,"I have to say travelling in Club Europe is a waste of money. The food was no better than economy food from the past. The seats are just the same as in economy although you get a middle tray, and probably worst of all the cabin was full of a lot of arrogant people who thought that just because they were not in economy it somehow made them more worthy people. This might be a British trait as I’ve travelled business class on other airlines and not had the same experience."
910,True,2019-07-01,United Kingdom,Boeing 737,Family Leisure,1.0,3,True,"Premium economy don’t waste your money on an overnight flight! Going out is acceptable but the night flight we had was a disgrace! The food (I use this term lightly) wasn’t fit for dogs on our flight, it was salmon we think as it didn’t taste of anything, a meat of some kind but was too tough to stick a fork into let alone eat it. The veg tasted burnt, bread roll was ok. (Not really a saving grace). One cup of tea or coffee at breakfast and don’t bother asking what was in the box left on our table! I didn’t bother trying it. The look on other people’s faces was good enough for me to know don’t bother! Which in comparison to the outbound flight (London to Orlando) was worlds apart, greeted with a drink which was the first of many, dinner was nice, the steak edible, veg cooked just right and dessert was nice with plenty of drinks! Inflight entertainment was good even though there was supposed to be WiFi but couldn’t log on so saved some money there. I really thought this was going to be the best way to travel. Oh a broken seat for one of our party was a bit disappointing, homeward bound and the inflight entertainment seem rather lacklustre which leads me to think it was an older plane. But that really shouldn’t happen. What is not told when booking, homeward flight on the top of your ticket if you have TSA PRE you don’t have to join the massive queue, look for pre entered TSA line that’s the one that’s empty cause they tell no one about it."
975,True,2019-05-01,United Kingdom,,Couple Leisure,1.0,1,False,"Gatwick to Tenerife. All so wrong. Lounge really overcrowded / food on the plane pretty horrid, left most of it. Paid for and travelling Business Class and allocated four rows away from my partner,  this is normal procedure. Apparently on top of a £2000 six night holiday I should have paid another hundred pounds plus to sit with my partner - total madness. This is an airline with a self destruct button, such a shame.Have just booked Norwegian for our next flights to Barcelona and Buenos Aires, did not even bother to look at BA."
978,True,2019-04-01,United Kingdom,Boeing 777-200,Business,1.0,2,False,"London to Shanghai. The most disappointing business class I have flown in a long time. The plane was old, worn and dirty (there were crumbs of food on the seat and the floor from a previous flight), It took 2 hours to for drinks service to reach my seat after take off - the food followed shortly, which was over cooked. They seemed to be short on staff. However, what made me really angry was that there were people in the cabin who had had both drinks and food and were having their beds turned down before I’d even been offered a drink. The service was exceptionally poor. I am flying home tomorrow and am not looking forward to the flight. As a Gold card holder, you might have thought BA would check their frequent fliers are being looked after? I’ll return to using other airlines in the one world group for my long haul trips, such as Cathay, JAL or Finnair. The only reason that I’ve given more than one star is that I managed to sleep quite well - the bedding and pillows were good. Ultimately though - sorry BA, not good enough."
986,True,2019-04-01,Australia,,Business,2.0,2,False,"London to Delhi. The worst business class trip for us. Seats much smaller than business class on Singapore Air, Thai International, Eva Air, Qantas; Not seated together - same surname, Mr and Mrs - but moved after. No privacy on middle seats; one tiny drawer is only storage for shoes, iPad, makeup and sponge bag, book etc. Film/TV selection was very limited and my choice wasn’t working. The food was very poor - main course congealed and so basic with a dessert that was pathetic, no tea, coffee, or chocolates offered to us. Breakfast had no jam with the croissant. Nobody came round during the flight offering extra water or other beverages. The crew didn’t put themselves out. If one pays more for business class one expects more and we didn’t get it. I would never choose to travel BA again."
1004,True,2019-03-01,Qatar,Boeing 787-9 / A319,Family Leisure,2.0,3,True,"Doha to Paris via London. This is the first time using BA since October 2002, nothing has changed,  the same reversible business class seats with very little storage space still comfortable but the business has caught up with BA and left them behind, with very poor entertainment selection and limited food choice. It cannot compare with other business leaders like Cathay and Qatar Airways but on this route BA charges the same price as Qatar Airways but delivers a much poorer product, though the service was OK not as personal but alright. Where they are better is with their check in luggage policy of 2 bags 32 kgs each they are superior and generous. I will still use them but look forward to them rolling in the new business class."
1010,True,2019-03-01,United Kingdom,Boeing 777,Solo Leisure,2.0,4,True,"The First Class zone at Heathrow T5 and the Concorde Lounge are very good. Service on board was excellent in both directions. The cabin layout is unimpressive and the food is nothing to write home about. The screen is small, with poor resolution. I enjoyed the flights in both directions, mainly because of the service. This First does not compare well with that of Middle Eastern and Asian airlines, but BA business class is so poor, I either fly economy or (when I am very lucky) try to fly First."
1023,True,2019-02-01,United Kingdom,Boeing 777,Couple Leisure,1.0,1,False,"Gatwick to St Lucia return. Recently returned from a two week holiday with my wife in Caribbean for a 60th birthday celebration. Tickets bought in August 2018 and decided to spoil ourselves with a Club Class return, having flown out Premium Economy. Arrived at airport to be told that we'd been downgraded to Premium Economy due to overbooking. Apologetic ground staff (defending the indefensible) but no apology on the plane. Fuming all the way back to London, exacerbated by hopeless cabin staff service (tea when I asked for coffee) and filthy food. Complained on return through BA exec Club webiste with response from Customer Service 10 days later. BA claims that overbooking is a very rare occurrence and gave a lukewarm apology. Evidence from ground staff on both journeys contradicts this and it seems to be a standard occurrence during peak season. We booked early so probably had relatively cheap seats. BA has presumably made money by selling our tickets to a higher bidder. General quality of BA service, food and wine has fallen dramatically over the last few years. BA is now effectively a low cost airline, flying a fleet of very tired aircraft, trying to preserve the gloss of a quality airline. The accountants may win in the short term but passengers will vote with their feet. Avoid this airline if you possible can. And the final insult in booking premium seats with BA is that you get charge £40 to pre reserve in Club and £70 in Premium Economy. BA, you are having a laugh with the flying public. On this performance you don't deserve to stay in business."
1030,True,2019-02-01,United States,,Business,1.0,1,False,"New York to Venice via London. Staff have been nice when around but aircraft, food, assistance and information all deplorable. Booked Business class. First flight, overnight from JFK to Heathrow - quick, mediocre food service then gone. Chair is set up so I’m staring at a stranger, it’s uncomfortable and difficult to maneuver with no instructions. Didn’t wake me for breakfast, not sure why they had me fill in a form for when I wanted to be woken up. No instructions for the transition between BA flights. Now I’m on the flight from Heathrow to Venice, no offer of coffee, water but worse, business class is just coach class, no extra leg room, just 3 seats with the middle one blocked out. Person in front of me put their seat back and my knees are in my chest. I didn’t pay for international business class to get stuck in uncomfortable seats for 2 long flights. I won’t fly BA again."
1031,True,2019-02-01,United Kingdom,B747-400,Business,1.0,1,False,"Chicago to London Heathrow. Club Class on British Airways is without doubt the worst in the airline industry.  It is bad enough that BA persist using out of date airplanes, circa 25 year old B747-400's, but they perpetuate the dreadful ying/yang seating arrangement of Club Class, where you have to look directly at the passenger next to you, and raise a screen for privacy. Then, mid-flight the crew lower the screen to serve the food. To leave the seat, one has to climb over the legs of a sleeping passenger;~no mean feat in the dark. The crew from Chicago were appalling, and dumped the food upon us as quickly as possible. Breakfast was inedible, and I returned it uneaten. The lounge at O'Hare was a crowded, tiny, dirty facility, with a food bar including some wilted vegetables and crackers with cheese. Insufficient chairs, and a single, old TV. Does no one at BA care how BAD they have become for premium class passengers."
1032,True,2019-02-01,United Kingdom,Boeing 747-400,Business,1.0,1,False,"London to Chicago. Could it get any worse? The flight to Chicago was equipped with the usual ancient Boeing 747-400. The British Airways First Class product doesn't come up to modern Business Class standards. This particular flight was late again, and the food / wine was simply awful. There is nothing remotely elegant about BA First Class, and the crew demonstrate no sophistication. This experience was like dining at your worst restaurant chain. Finally, not only is the aircraft tired and worn out, but the in flight so-called entertainment system did not work, and had to be rebooted twice. The First Class seat is a bad joke, and extraordinarily uncomfortable. British Airways are at least twenty years out of date with their entire First Class product. All that can be said about this airline is woeful. The Concorde First Class lounge at Heathrow is filthy dirty, and desperately needs refurbishment."
1064,True,2019-01-01,United Kingdom,Boeing 777,Couple Leisure,1.0,1,False,"Whatever happened to the World's Favourite Airline? Returning from Bermuda to Gatwick we were presented with a worn-out Boeing 777. My seat table was broken with bits of seat plastic hanging off. I had to try and balance the seat tray on my knees so that the dinner tray could be kept flat, it didn't work, tray ended up on the floor with drinks and food. Reported this to steward who was clearly upset with my complaint and told me 'I'll put it in the book'. No apology, no attempt to explain, just irritation from him. The food was awful, neither my wife or I could finish it. It also seemed incomplete with no cheese and biscuits, and nothing to go on the salad. My wife's entertainment screen, didn't work, the passenger next to me screen didn't work and mine only worked intermittently. It look liked something from the Arc with the grid allowing the touch sensitivity clearly visible. I believe the 777s out of Gatwick are being updated, can't come a moment too soon. We purchased Premium Economy tickets for the this flight, we didn't get a premium service. Initially I was going to buy business tickets but the price was ridiculous so I'm glad I didn't. My frustration with BA grows every year, we only fly with them now when we have too."
1068,True,2019-01-01,Malaysia,,Business,1.0,3,False,Kuala Lumpur to Miami via London in business class with British Airways. The business class seats were small for business class and pretty old. The flight entertainment system are outdated. I am not sure how they do the selection but they could do better with the crew selection. Food choices were limited and mine was not up to par for business class. Overall BA have to do better to be on top of their game. Planes has to be changed.
