,Unnamed: 0,verified,month_fly,month_fly_num,year_fly,month_year_fly,country,type,route,ground_service,money_value,recommended,review,origin,destination,transit
189,189,False,June,6.0,2023.0,2023-06-01,Romania,Solo Leisure,Bucharest to Dallas via London,1.0,1,no,"I flew with numerous airlines, but I gotta admit, British Airways is by far the worst airline ever when it comes to customer support. I waited 3 weeks for a ticket change. Call center workers are giving you false information just so they would make you hang up. They told me I was supposed to get an email from them with the flight changes, but never got. They don't have a live chat just like American Airlines do, they don't have a online form to submit your questions, they don t have a working international number. Total garbage.",Bucharest,Dallas,London
192,193,True,June,6.0,2023.0,2023-06-01,United States,Solo Leisure,San Francisco to London,1.0,1,no,The customer service is ugly. Tried calling two weeks ago but still had problems with flight. All I get is someone in India. I thought i was flying Iberia once I looked close at ticket it was British Airways. Will never fly British Airway ever again.,San Francisco,London,
195,195,True,June,6.0,2023.0,2023-06-01,United States,Couple Leisure,Seattle to Nice via London,1.0,2,no,"I booked our first out of country trip to take my husband on a surprise trip to Monaco. I gave us over 3 hours for our connecting flight to and from home through Heathrow. Our flight left Seattle an hour late causing us to miss our connecting flight. We were rescheduled before we even landed. They booked us on a flight 7 hours later and offered no food tickets or any other type of reimbursement. Additionally we sat in their customer service line for an hour and a half to see if they could rebook us on an earlier flight, to watch them continually assist other customers that walked up outside of the queue (no earlier flights were available). When we arrived in Nice, France the airport was closed, including the rental car desk. We were not offered any assistance from the airline on a room or other accommodation for the night. We found a cab, which cost us 85 euros one one to get to our hotel. We thought there is no way something like this could happen on the way home….we were wrong. Our flight from Nice to Heathrow was 30 minutes late, with a 2.5 hour layover you would think we should still make our flight, unfortunately long security lines caused over 1.5 hr further delay. When arriving BA closed the doors and said they could not hold the plane any longer despite arriving 15mins before departure. After running through the Heathrow airport and going through security again. They sent us back to the customer service queue, where the first statement was we can’t get you out until tomorrow. After begging they found us a flight on another airline. At that time we were told our bags were transferred to our flight with Delta. We were given 8 pounds each for snacks at the airport for our now additional 5 hour delay. In total for our trip there and home we spent 13 hours at Heathrow airport which our original total layover of 6 hours, and we were offered 8 pound each. Unfortunately the drama continues. The two bags that they said made the Delta flight, shockingly did not. We were told that we had the file the claim with Delta, since the last part of our flight was with them. We have now been home for 5 days and each airline is pointing the finger at the other. As I said to both of them today. I don’t care who’ has my bags figure it out and send me my luggage I don't want your $500 reimbursement per bag, as that doesn’t come close to the memories and stuff that I have in there. I will never fly British Airways again, and Delta’s baggage people are not doing great either.",Seattle,Nice,London
197,197,False,May,5.0,2023.0,2023-05-01,United States,Business,Seattle to Edinburgh via Heathrow,2.0,2,no,"May 3, flew from Seattle to Heathrow then to Edinburgh. BA lost my golf bag which caused me to purchase golf shoes, club rentals, tees, balls. I had tee times at two courses in St. Andrews that took months to make. The promised my bag returned in 24 hours and they would reimburse occurred expenses. I contacted BA and they state they would only reimburse toiletries. Then the return flight home was randomly canceled by BA without notifying me or without notice two weeks before the scheduled flight. I contacted the corporate travel team, they informed me BA, canceled my return reservation. They rebooked me on the same flight. BA customer service was horrendous and make false promises. I will never use this airlines again. Beware of British Airways. They also randomly canceled my girlfriend and her fathers flight and they are both gold members.",Seattle,Edinburgh,London Heathrow
200,200,True,May,5.0,2023.0,2023-05-01,Canada,Family Leisure,Vancouver to Barcelona via London,1.0,1,no,"The flight schedule was delayed for one hour. After boarding the plane we were delayed at least another 30 minutes. When we arrived in London, we were delayed again for at least another 30 minutes to find a gate. We were left with 45 minutes only to catch our connecting flight to Barcelona, we needed to run and take the train to different terminal to catch our next connecting flight. When we arrived at Barcelona airport, we discovered that our check in luggage was still in London. Very painful trip (disrupted our vacation). Not flying with BA anymore if I can find alternative Airlines.",Vancouver,Barcelona,London
201,201,True,June,6.0,2023.0,2023-06-01,United States,Family Leisure,Boston to Cairo via London,1.0,1,no,"The worst experience in all my years of travel. My first flight with my two kids from Boston to London was delayed by 2 hours, resulting in me missing my connecting flight. Despite having a layover of approximately 2.5 hours, I ended up waiting until 4.30 pm to board my flight to Cairo. Unfortunately, even that flight was delayed. I would strongly advise avoiding this particular airline, even if it means paying a bit more for a different option.",Boston,Cairo,London
202,202,True,May,5.0,2023.0,2023-05-01,Australia,Couple Leisure,London to Santorini,1.0,1,no,"The worst experience in all my years of travel. Bag was destroyed, flight delayed 3 hours and couldn't get water on board. Then when attempting to claim on their website the entire site failed on a dropdown menu that wouldn't work. You can't contact them. Plane was filthy and someone else's belongings and left over food was still in our seat.",London,Santorini,
203,203,True,February,2.0,2023.0,2023-02-01,United States,Family Leisure,Heathrow to Mumbai,1.0,1,no,Terrible delays. Had to rebook our domestic travel for 5 passengers and haven’t received any reimbursement on the same. Lost all my luggage; received luggage after 4 days. Had to purchase new clothes for the family for a wedding. No customer service rep picks up the phone.,London Heathrow,Mumbai,
205,205,True,May,5.0,2023.0,2023-05-01,United States,Family Leisure,Nice to London Heathrow,1.0,1,no,"I haven't flown British Airways before and will never fly them again! The check-in process was terrible and slow. There were over 30 people in the regular check in line and they had two agents working it. They had one agent working the first class line. It should not take that long to check people in especially when people should have checked in online ahead of time. Our group checked in online and almost missed our plane because of the slow counter service. We had to run to the gate and we did make it, but they were terrible!",Nice,London Heathrow,
208,208,True,May,5.0,2023.0,2023-05-01,Canada,Couple Leisure,Lisbon to London,1.0,2,no,"Worst seats I have ever encountered in economy class. No leg room at all. I had to spread my legs to fit. Staff at the terminal rude. “Business class” offers the same seat, but with more legroom and they block the middle seat. They cram people in seats with no legroom and block off the same seat type at the front of the plane (where there is more legroom) just so the “business class” passenger has an empty seat between them. Plane is old with no onboard entertainment for a 3 hours flight. Last time I will fly British Airways.",Lisbon,London,
215,215,True,April,4.0,2023.0,2023-04-01,United States,Solo Leisure,London to Dallas,1.0,1,no,"Absolutely terrible experience. The app would not let me check in online and repeatedly asked for COVID documents, but then did not accept them even when provided. I was trying to fly back to the USA, where I am a citizen and the app caused repeated errors. I went to British Airways Customer Service to check in and was told that my seat was already given away to another passenger, even though I was there in plenty of time. This was also during an industrial action at Heathrow, meaning the number of flights were limited. I was delayed over 24 hours in returning to the USA, all because of their terrible app and then bad customer service that gives away seats even when the paid passenger is already there at the airport.",London,Dallas,
216,216,True,May,5.0,2023.0,2023-05-01,United Kingdom,Business,London to Madrid,1.0,1,no,BA overbook every flight to maximise their income with no regard for the customer. It means you cannot check in online or at the kiosk in the airport and have to queue even with no luggage. Makes easyJet and Ryanair look like customer champions. The server in Itsu in the BA terminal says she stopped flying BA years ago due to the service being bad all the time. Most customers she serves have a complaint Staff don't care as poor service and unhappy customers is a routine occurrence.,London,Madrid,
217,217,True,May,5.0,2023.0,2023-05-01,United Kingdom,Solo Leisure,London to Belfast,1.0,1,no,"The flights were all on time, except Belfast from London which never is. The Staff were efficient. My issue is the App, I could not book seats to Tel Aviv though tried for a month as wanted to pay. So ended up in a middle seat even though a window seat was available on the flight. The seat was in front of the dividing barrier and was used as thoroughfare by the service team throughout the flight so I wasted my money on PE seat! You can get hold of BA customer service via the app either and they have just ignored all other communication so just won't use them again.",London,Belfast,
223,223,True,May,5.0,2023.0,2023-05-01,United Kingdom,Business,London to Barcelona,1.0,1,no,Terrible. Avoid this airline. It’s now becoming regular practice to cancel flights. Had a cancellation from Switzerland that forced us to spend the whole night in a cheap hotel and had to fly out the next day and then had another cancellation to Spain. The airline only knows how to ask for expensive prices.,London,Barcelona,
224,224,True,April,4.0,2023.0,2023-04-01,United Kingdom,Business,New York to London,1.0,1,no,"Despite being a gold member, the British Airways staff in Heathrow literally could not care in the slightest about the absolute turmoil and logistical damage or wider impact of their terrible service. All the staff members repeat the same mantra - “we are not obliged to provide even an update for the first 24 hours” as if that would make the situation better. There are no proactive updates, no empathy, no care but a lot of actual lies being told. You can tell that they have given up any care or thought for the passengers as actual individuals - they show this in every action and word they say. All of them are better suited to working away from other humans.",New York,London,
229,229,True,February,2.0,2023.0,2023-02-01,Ireland,Family Leisure,London to Denver,1.0,2,no,The ground staff were not helpful. Felt like all they wanted to do was rush us to check in and then all passengers needed up waiting in a holding area for a bus anyway. Travelling with a child with a disability was a nightmare with British Airways. Logged a complaint and it took almost four weeks to answer. Lost some of our luggage. It was not a good experience.,London,Denver,
231,231,False,April,4.0,2023.0,2023-04-01,United States,Couple Leisure,Brussels to Los Angeles via London Heathrow,1.0,1,no,"They changed our Flights from Brussels to London Heathrow to LAX on 4/16/2023. We paid extra to choose our seats. Since they cancelled they never honored the seat that we bought, they seated us in totally different seats. I asked the check in employee, she was very rude and told us that we have to understand that was a different flight. From London to LAX was worse, nobody in the airport help us. Employees from BA told us that we have to return next day for our flight we can rent a hotel or go terminal 3 and sleep there. Finally one employee help us and gives a voucher for hotel. It was a nightmare this airline. We missed one day work and BA didn’t return the money that we paid for our previous chosen seats.",Brussels,Los Angeles,London Heathrow
232,232,False,April,4.0,2023.0,2023-04-01,United States,Couple Leisure,Copenhagen to London,2.0,2,no,"At Copenhagen the most chaotic ticket counter assignment in the history of airlines. Time on board never changed, no fixed counter at Airport. Abysmal service that needs vast improvement here",Copenhagen,London,
234,234,True,April,4.0,2023.0,2023-04-01,Hong Kong,Solo Leisure,Hong Kong to London,2.0,2,no,"Due to code sharing with Cathay Pacific I was downgraded to BA on my return leg. I can’t describe how cheated I felt. I booked and paid for an airline with great entertainment, food and service, instead, I was forced to go hungry because they only had one choice of meal and it was inedible. To ensure the passengers didn’t get any funny ideas and assume that as the vegetarian option was unavailable they might be given a cracker or a small packet of nuts. The cabin crew announced in their uniquely aggressive and dismissive way “You won’t get anything else for 12 hours you know!” the entertainment is compiled mainly of B movies so I paid £11 for Wi-Fi so I could watch Netflix on my laptop. Unsurprisingly, the signal was so weak I couldn’t even send an email. To add insult to injury, the earbuds provided the cheapest and lowest quality I have ever seen. Since the last time I used this airline the crew are less rude and obnoxious and are now just impatient and unhelpful.  What I don’t understand is why it seems that British Airways look for these characteristics as desirable attributes for their crew.",Hong Kong,London,
237,237,True,January,1.0,2023.0,2023-01-01,United States,Solo Leisure,Madrid to Belfast via London,1.0,1,no,"Absolutely horrible experience. I booked a ticket from Expedia for a British Airways Operated flight from Madrid to Belfast with a changeover at London Heathrow. The whole itinerary was listed as BA although the Madrid to London flight was Iberia. On Jan 22nd, London was experiencing cold and fog. The Iberian flight sat on the tarmac for 2 hours in Madrid because of the London weather. Upon landing in Terminal 3, I had to take a bus to Terminal 5. The flight was the last flight to Belfast for the evening and it had already taken off. The BA desk was swamped with people as many people had to spend the night due to the weather. The British Airways staff said that we could go book any hotel up to 200 pounds and we would be reimbursed. I was barely able to find a room and had to take an expensive cab. However when trying to get the reimbursement, BA said it wasn't their problem and that it was Iberia's problem. Iberia said they do not reimburse due to the weather. When complaining to BA, they said they only market the flight as BA and that they refuse to reimburse. Absolutely disgusting behavior by the airline to not take any responsibility for a flight that they were using their name to sell it to people but don't want to take responsibility for it. Did they expect me to take the bus back to Terminal 3? Their people gave out false information.",Madrid,Belfast,London
238,238,False,April,4.0,2023.0,2023-04-01,United Kingdom,Business,Dublin to London,1.0,1,no,"This is the worst airline. Not one thing went right. I don’t understand how they have got it so bad. Late take off, no gate when we arrived. Bags took over 40 minutes to arrive. Horrendous",Dublin,London,
243,243,True,April,4.0,2023.0,2023-04-01,United States,Couple Leisure,London to Copenhagen,1.0,1,no,"After several delays and canceled flights, we finally made it to Copenhagen on American Airlines and British Airways flights. My luggage was destroyed, wheels torn off. I had to buy new luggage in Denmark. I made a claim with British Airways to reimburse me but because I didn’t have the receipt for my old luggage, they would only cover 50% of my new luggage. Advice, have receipts for your old luggage prior to flying so you don’t get ripped off like I did.",London,Copenhagen,
244,244,False,April,4.0,2023.0,2023-04-01,United Kingdom,Couple Leisure,London to Malta,1.0,1,no,"Literally the worst flight of my life. After booking tickets together with my partner, we were then separated: ‘sorry, the flight is full.’ The flight then took off 45 minutes late - no apology. The trolley service took over two hours and they periodically skipped rows, and the response was flippant and rude: ‘whoops. Not sure how that happened. What do you want?’ Genuinely appalling from beginning to end. Might as well fly Easy Jet - at least they charge a price commensurate with the poor quality of service, not like BA",London,Malta,
247,247,True,April,4.0,2023.0,2023-04-01,United States,Family Leisure,Mumbai to Chicago via London,1.0,1,no,"Lost 3 out of 4 checked bags. Denied wheelchair assistance at LHR for my wife and the staff forced us to change terminals by foot. Rude staff on BA297 from LHR to ORD on April 05, 2023: ignored multiple times when simply requested a cup of water. When walked up to them after a couple of attempts to request for water politely, the BA staff onboard yelled at my wife and asked her to be go back to seat. Horrible flight with disappointing staff. Customer service is terrible and online check-in never worked because BA never verified our COVID documents which were uploaded in advance, resulting me and my wife seated separately. I’ve lost respect for British Airways. Disgusted.",Mumbai,Chicago,London
252,252,False,March,3.0,2023.0,2023-03-01,United Kingdom,Couple Leisure,London to Lanzarote,2.0,3,no,"Generally poor. Sent to gate on time, sat maybe 30 minutes, was then announced as crew were not familiar with the A321 there would be a delay. Clearly nonsense and there was a retraction on board of this statement. Watched the crew walk through to the gate, my impression was they did not want to be there. Was given a miniscule amount of water, small bag of pretzels and then it was announced there would be a wait for any further cabin service as card processing machines were u/s. No further updates or sight of crew for next two hours, then attempted to charge us for even a glass of water. When I said this should be complimentary, girl said it was not her problem and walked away.",London,Lanzarote,
253,253,False,March,3.0,2023.0,2023-03-01,United Kingdom,Couple Leisure,Marrakech to London Heathrow,1.0,1,no,"BA changed our prepaid seats at the last minute and charged us to select new seats. Flight took off late, cabin crew served a tiny packet of pretzels. Arrived at Heathrow late, put on a remote stand, loaded onto buses to terminal. Held up at transit security by a clown of a member of staff, allowed 15 passengers at a time because of a trial. Queued at security for 20 minutes.",Marrakech,London Heathrow,
254,254,False,March,3.0,2023.0,2023-03-01,United Kingdom,Couple Leisure,London Heathrow to Marrakech,1.0,1,no,Flew from London Heathrow to Marrakech. BA changed our pre paid seats at the last minute and even charged us to select other seats. Boarding was chaos. Staff were rude demanding selected passengers put their hand luggage in the hold. I had one small bag however they never demanded other passengers with 2/3 bags and some with hand luggage that was obviously too big. Flight was late taking off and the snack was a miserable tiny packet of cheese pretzels. This airline is going downhill rapidly.,London Heathrow,Marrakech,
255,255,False,May,5.0,2022.0,2022-05-01,United Kingdom,Family Leisure,London to Algiers,1.0,2,no,"I was meant to fly in January to Algeria. I paid over £300 for the ticket. Just a few days before I was meant to fly, my wife broke her foot. I had to then rebook it in March and pay another £100. I called British Airways 3 weeks before my flight in March and I told them again that it had to me rebooked, as my wife was still not well. They told me that I don’t have to pay anything to get it rebooked as I sent them a letter from the hospital saying my wife wasn’t well. However, they never sent me the ticket. They made me wait for nearly 4 weeks and they asked me to pay either £316 on top of the £450 that I paid previously. Or the second option they gave me is to get a refund of £80. (Tax only). I found it ridiculous that they told me to pay a fraction of the money I previously paid. Each time I call them, they hang up on me; or they continue telling me to pay £360. I made a complaint, and nothing happened.",London,Algiers,
256,256,True,March,3.0,2023.0,2023-03-01,Austria,Couple Leisure,Miami to Munich via London,1.0,1,yes,"We have flown repeatedly with British Airways and the One World alliance over the last few weeks. Every flight was delayed. Now we are back at the airport in Miami and have another massive delay so we will miss our connecting flight. Finally, our luggage arrived in Puerto Rico with a 3-day delay and we had to reschedule our round trip ... we haven't received any information about our luggage to this day, luckily we checked it ourselves at the airport and it was there. The last delayed flight meant the cabin crew that they too miss their connecting flights and we are on the same plane and they can't do anything.  Wir sind in den letzten Wochen immer wieder mit Britisch Airways und dem One World Zusammenschluss geflogen. Jeder Flug war verspätet. Nun sitzen wir wieder in Miami am Flughafen und haben schon wieder eine massive Verspätung sodass wir unseren Anschlussflug verpassen werden. Zuletzt ist auch unser Gepäck mit 3 Tagen Verspätung in Puerto Rico angekommen und wir mussten unseren Rundreise umplanen… wir haben bis heute noch keine Info über unser Gepäck erhalten, zum Glück haben wir selbst am Flughafen nachgesehen und es war da… Beim letzten verpspäteten Flug meinte die Kabinen Crew dass auch sie ihre Anschlussflüge verpassen und wir im selben Flugzeug sitzen und sie können nichts machen.",Miami,Munich,London
257,257,True,March,3.0,2023.0,2023-03-01,United States,Business,New York to London,2.0,2,no,"I was horrified by the extremely small seats and the poor training that the crew clearly receives. Not one of them exuded any kind of warmth or expressed any desire to make our journey pleasant. The seats were so narrow that regardless of the size of your neighbors you are forced to touch each other constantly, if the seat in front of you is reclined you have no choice but to recline your own, or else you are breathing in the head/ scalp of the person in front of you. Food was revolting, they don't even provide napkins unless you ask with the pre-meal drinks and the secondary meal. The last time I flew BA it was a completely other experience and I was so sorry to see how far the quality level has slid. It was really majorly disappointing and I regret that I have already purchased 2 other intercontinental trips with the company. I will now have to see if I can change them. The pathetic 250 ml bottle of water, it's just a sip. On the shorter flights the seats couldn't even be reclined which was a great pity since the flight was delayed by almost 3 hours and we had to wait on board.",New York,London,
261,261,False,March,3.0,2023.0,2023-03-01,United States,Solo Leisure,Munich to London Heathrow,1.0,1,no,"Booked a flight return flight between London and Munich for 3/11 to 3/17 in December. The return flight was cancelled and re-booked from 3/17 to 3/12. British Airways only notified me of the first change, but not the second. Getting the flight reinstated took multiple phone calls on both occasions. Each time needing to find a helpful representative. British Airway employees told me that even though they cancelled my flight they did not have to refund the ticket. They tried to charge an $800 change fee. Through repeatedly calling back, British Airways reinstated my 3/17 flight on 2/20 and then again on 3/6. To make sure it did not get changed again, i checked the status of my ticket daily from 3/12 to 3/15. It was intact those days. On 3/16 when it was time to check-in for the flight, it was gone. At the airport the staff at the British Airways check-in counter are not BA employees, so cannot help resolve problems. There are no BA representative at the Munich Airport. The confirmation documentation from British Airways was of no value. I was left stranded at the airport.",Munich,London Heathrow,
262,262,True,March,3.0,2023.0,2023-03-01,Netherlands,Couple Leisure,Amsterdam to London,1.0,1,no,"I tried to check in on line and was informed that this was not possible. I was given no reason for this. I telephoned BA customer service and must have wasted nearly 2 hours being given wrong phone numbers and incorrect information. Staff need customer training, better knowledge of their product, and some manners. BA customer service was virtually non existent. I will never fly with them again.",Amsterdam,London,
263,263,True,March,3.0,2023.0,2023-03-01,United Kingdom,Couple Leisure,Heathrow to Belfast City,1.0,1,no,"A catalogue of failures. We flew from Belfast to Heathrow a week ago and the flight was delayed by over three and a half hours. We missed our onward Air Canada flight to Calgary as a result. On arriving in Calgary (after re-routing via Vancouver which added over 6 hours to our journey) we met other passengers who had also missed the same Air Canada flight as their British Airways flight from Manchester had also been delayed by several hours. We are now on our way home only to find our Heathrow to Belfast flight, which had already been cancelled and put back 2 hours, is now delayed by another 2 hours. Avoid British Airways like the plague.",London Heathrow,Belfast City,
264,265,False,March,3.0,2023.0,2023-03-01,United Kingdom,Business,London Heathrow to Amsterdam,1.0,1,no,"If I could give a minus rating, I would. Supposed to be LHR-AMS at 14.05 on 13th March. Get to LHR at 12.00, email to say flight cancelled. No one able to help at LHR, said to use the app. Only halfway sensible option was from LCY-AMS at 17.05, so taxi over there as trains from LHR not working (ok, not BA's fault). Get to LCY, showing as cancelled on screen, so check the app and there it is. Rebook again via the app to the 15.30 departure, go to desk to drop bag and was told that I was only on standby for the flight, with no guarantee of a seat, despite the app telling me it was confirmed. The 18.35 to AMS was already overbooked so was moved onto the 19.30 flight to Rotterdam. The 15.30 and 18.35 were both cancelled anyway, as it happened. Eventually took off and the best thing I can say is that it landed intact. Return from AMS-LHR, similar story. Arrive at AMS, screen shows the 21.00 is cancelled. Quickly check app, and confirmed it was. No emails, no texts, nothing. Rebooked via app to the 22.00 departure, so could have been worse. Desk agent helpfully printed me a boarding card as the app was unable to issue anything for a rebooked flight. Overall, dreadful. They just don't care and hide behind apps and automated call centres. Avoid unless you have no other option, and even then stop and consider if you 'really' need to go.",London Heathrow,Amsterdam,
265,266,True,March,3.0,2023.0,2023-03-01,United Kingdom,Solo Leisure,Zagreb to London Heathrow,1.0,2,no,"Plane was over an hour late leaving, no problem that can happen. But on arrival at Heathrow, the plane sits on the runway for 45 minutes as there was no free stand to go to. Then once at the stand we waited another 45 minutes as there was no bridge available to enable us to get off the plane. Just pathetically inefficient.",Zagreb,London Heathrow,
268,268,False,December,12.0,2022.0,2022-12-01,Ireland,Solo Leisure,Dublin to Orlando via Heathrow,1.0,1,no,This was literally one of the worst experiences. I haven’t been to an airport since. It began in Orlando flying back the flight plan system went down and we were stuck on the tarmac for 6 hours. Poor customer service and just ignored at times. Then missed my connecting flight and we were told not to leave the baggage area without our bags. Even though I booked through to Dublin. Another 4 hours I was told my bags were lost and to continue to the desk to book a flight. Another hour later I was handed a card with a number and told to ring it. I was cut off three times and told I wouldn’t be able to get home that day despite several flights being available. Just booked my own flight and had lost my suit and presents for Christmas and missed an engagement party.,Dublin,Orlando,London Heathrow
269,269,True,March,3.0,2023.0,2023-03-01,United Kingdom,Family Leisure,London Heathrow to Munich,1.0,1,no,"The usual shambolic unfolding that BA has now unfortunately been come to known for. We had a long weekend flight booked to Munich that was supposed to be departing on 9th February at 19:55. This happened to be our first flight with our newborn (3 month old) daughter. It turned out to be a horror show of incompetence. Just under 3hrs before scheduled departure, the original 9th February flight was cancelled. We received an email as we were boarding the Heathrow express. I’d booked a day of holiday off work for this trip. We ended up getting doing a round trip to Paddington instead. On the way back from the cancelled flight, both me and my wife tried calling BA. Despite one of us having silver membership (possibly the largest joke of a membership currently out there), I took us nearly 45 minutes to speak to someone who could help. I believe BA outsource their call centres and so you end up talking to people who are following a script. The result is that you might as well be speaking to an AI rather than a human. We often received the response similar to ‘computer says no’. If this is the service level for silver members I can’t imagine what a regular punter has to put up with. When the phone originally connected to a person, I had to wait 5 minutes as his computer booted up. - BA then proceeded to auto-book us onto a new flight for the next day but going to a different destination. Our original flight was to Munich and the auto-booked replacement flight was to Salzburg. When asking the robot at the BA call centre why they booked us on a replacement flight to a location 135km apart, they couldn’t understand my frustration.  Eventually, someone was able to book us onto a flight the following day at 17:00. Not ideal as I’d wasted a valuable day off work and the hotel wouldn’t refund us or move our booking, but at least we were going to Munich and not Salzburg. - The day of the new flight came round and, this time, we managed to get all the way to the check in desk. Upon arriving at the check in desk, we were told that our rebooked flight had just been cancelled 4 minutes earlier. No email. No text. No notification ever arrived from BA to tell us that the flight had been cancelled. Incomprehensible as to how this could have possibly happened. The check in person said I should get on the app to rebook. At this point, I didn’t know whether to explode with anger or cry. Luckily, another check in person had an ounce of sympathy and explained to the useless check in person that he could actually rebook us. We were booked onto another flight later that evening (19:55 - BA0958). Unfortunately, that meant 5hrs in the grotty lounge with a 3 month old baby. It appears that everyone now has access to a lounge and so there’s really no difference between the lounge and a hostel, other than you get free stuff in the former. This was not a pleasant experience. We did eventually arrive in Munich and, despite asking, didn’t get our push chair/stroller delivered to the front of the plane. The plane was a characteristically BA dumping ground - they used to give you sanitising wipes so you could clean your seat and tray table down but they seemed to have cut back on this service too. All in all, another shocking BA service. A lost day of holiday and not an an ounce of empathy/sympathy/understanding at all from any of the employees I interacted with.",London Heathrow,Munich,
271,271,True,March,3.0,2023.0,2023-03-01,United Kingdom,Solo Leisure,Geneva to London,1.0,2,no,"The incoming and outgoing flight was delayed because French Air Traffic Controllers were on strike so we were routed over Germany, and not BA's fault. O arrival the pilot announced we could not pull onto the stand as no ground crew had showed up to turn on the automatic last metre guidance. It took around 40 minutes to find someone. Then when that was done there was a further delay as there were no ground staff to operate the skybridge. All told we were trapped on the plane for over an hour within metres of our gate. Total disruption, wasted time. Absolutely no excuse for this.",Geneva,London,
272,272,True,December,12.0,2022.0,2022-12-01,Australia,Family Leisure,Prague to London,1.0,1,no,"Back in December my family and I as we were getting onto the plane were refused. Even though we had boarding passes and seats allocated and had booked 6 months in advance we were refused. It turns out that someone had not turned up to work and they couldn't let all the passengers on the plane. So quite randomly (not) 9 people were selected and turned away. We were selected as we had no check in luggage and it was easier to boot us off despite them not knowing my circumstances, if I had connecting flights in London etc. I sought compensation from BA (which I was told I could do) and what an absolute nightmare this process has been. They wouldn't acknowledge my complaint for my family until I had an authorisation letter from them saying I could act on their behalf. Even though, I booked and paid for the tickets. So, I uploaded the authorisation letter no less than 10 times. Every time they told me they received it and every time I followed it up they told me they hadn't. There was no other way except to post from Australia to the UK to some office. Eventually, it finally go through to them. I have now chased up the reimbursement four times. Each time they tell me it has been sent and to be patient. Today they tell me that they need to check my account details. So, again, I send them the same information that I have done before. AND I wait patiently for my reimbursement. I am convinced that their business model is for you to get so frustrated you just go away. Well, you know what I won't.",Prague,London,
273,273,True,March,3.0,2023.0,2023-03-01,United Kingdom,Business,Heathrow to Glasgow,1.0,1,no,"As usual the flight is delayed this week, it already 3 hours and I’m held on a bus waiting to get taken to the plane. I really can’t explain how much I detest British Airways. If it was a cheap budget airline I could accept it, but it’s premium prices for the most unreliable service.",London Heathrow,Glasgow,
284,284,True,February,2.0,2023.0,2023-02-01,United Kingdom,Family Leisure,Lyon to London,1.0,1,no,"My original flight was cancelled just over 2 weeks before my actual flight and although alternative flights were available, British airways affected the trip I planned. It feels like BA is doing a favour to passengers rather than being paid to deliver the service.",Lyon,London,
285,285,True,February,2.0,2023.0,2023-02-01,United Kingdom,Family Leisure,London to Lyon,1.0,1,no,Delayed just for a change. Poor communication. British Airways sells premium prices flight tickets and delivers no better than a low cost airline. Customer service is impossible to contact and it seems BA tries hard to hide any possible email communication address when it's available.,London,Lyon,
287,287,True,February,2.0,2023.0,2023-02-01,United Kingdom,Family Leisure,Oslo to London,2.0,3,no,"Check in was so slow, no self check in and bag drop. Boarding was ok, flight totally full. Booked row 9 which was ok. Some space in overhead bins. Seat and legroom ok. Cabin crew ok, smiled, gave out the bottle of water and pretzels. Flight itself was ok, landed 25 mins early and then waited 30 minutes for a stand and ground crew. Bags came off reasonably quickly. BA still seems to believe it is something special, a premium carrier. The reality is that it is not. The only reason we flew BA was we got virtually free tickets because both flights were cancelled last year. BA is our carrier of last choice.",Oslo,London,
288,288,True,February,2.0,2023.0,2023-02-01,United Kingdom,Solo Leisure,London to Madrid,1.0,2,no,"My review relates to the appalling experiences I had with British Airways on 14th February 2023. I was due to travel to Madrid with British Airways and before setting off I heard on the radio that there were flight delays. I looked at the Heathrow Airport website and saw that my flight had been cancelled. As a result of the information on the website, I called British Airways and have 26 minutes on hold I found myself speaking to somebody in a call centre in South Africa. The person was hard to understand due to a heavy accent and he was incompetent and insisted that the flight was not cancelled. I made my way to Heathrow and sure enough the flight was indeed cancelled. The woman in question had the audacity to declare that the flight was cancelled and that “there are no facilities here at the airport to rebook you”. She refused to let me and about 12 other people join the queue for the clearly marked assistance desk. The same woman and one of her colleagues gave out a card with a telephone number and told one rather elderly gentleman to “go online to rebook your seat”. I am visually impaired and found the attitude of the BA employee to be appalling. I called the number on the card the employee gave me and was again in a long queue to a call centre. The person who picked up the phone kept me waiting 22 minutes and declared that the flight was not cancelled and that the airport “must be wrong”. He then in a flippant tone said he was just informed that the flight was indeed cancelled and that I would have to go and speak to IBERIA customer services in Heathrow to rebook! I took the elderly gentleman with me to IBERIA where the counter staff member rolled her eyes in disgust and said that it was nothing to do with IBERIA. I returned to BA and this time I joined the check-in line and told a check-in agent what had happened. The man in question booked me onto the next available flight within a matter of a few minutes. He gave me a £30 voucher as a form of compensation but said he could not add my frequent flyer number with a partner airline. The voucher proved useless I am afraid as various shops in the predepature area refused to accept it and although I was told I could use it after clearing security none of the shops would accept it. Once aboard my new flight the service was minimal. Other than a tiny bottle of water and a packet of pretzels nothing else was available. This was a full flight as so many people had been transferred from the cancelled flight. BA Cabin crew announced that any additional items other than the small bottle of water and pretzels had to be ordered via their skyshop.",London,Madrid,
290,290,True,February,2.0,2023.0,2023-02-01,Canada,Couple Leisure,Edinburgh to London,1.0,1,no,"Lots of cancellations and delays and no one apologized. Edinburgh to London on Feb 14th, 2023, our original flight was cancelled, and the rebooked one was cancelled as well, the third rebooked one was supposed to departure at 12:50 and had several delays until 2:24. Then we had to wait 57 minutes for our luggage to arrive.",Edinburgh,London,
