,verified,month_fly,month_fly_num,year_fly,month_year_fly,country,type,route,ground_service,money_value,recommended,review,origin,destination,transit
576,False,August,8.0,2021.0,2021-08-01,United Kingdom,Couple Leisure,Heathrow to Manchester,1.0,1,no,"I had booked a flight from Heathrow on Friday 27th August 2021 to fly to Manchester Airport. On arrival at Heathrow to check in, the British Airways staff informed me that I had booked both flight seats in my name by mistake. I offered to pay a fee to get the second seat changed to my sister's name but British Airways refused us to board and sent us home. However, the staff member who I spoke to at the desk promised to email us flight vouchers which I would get shortly so that I could fly at another time with BA since they do not offer refunds. I never received these flight vouchers. I have chased numerous times on the phone with BA staff who said that it was my error and that no flight vouchers would be sent to me. They have no record that a staff member spoke to me and promised these vouchers, they say I was just a 'no show' which is inaccurate. I have sent numerous emails to BA explaining what happened and asking form my promised vouchers. I have had no response to my emails/messages. One BA staff member on the phone said that I should track down the lady I spoke to at Heathrow and ask her if she remembers me. So ludicrous as I did not take her name and I doubt she would remember me since she sees hundreds of BA customers a day.",London Heathrow,Manchester,
580,False,August,8.0,2021.0,2021-08-01,United Kingdom,Couple Leisure,Manchester to Aberdeen via Heathrow,1.0,1,no,I’ve had to book six flights with BA recently. All have either been cancelled or had a significant time change. The latest flight was so late into Heathrow we missed our connecting flight even though we’d scheduled around 2 hours between flights. BA staff at Heathrow were rude and generally clueless for the most part. They couldn’t get us to our destination within 24 hours of our scheduled arrival time. We booked an easyJet flight from Gatwick instead and had to pay to get ourselves to Gatwick. A complaint was registered several weeks ago with no response so far. Perhaps BA have a backlog of complaints the way they are performing at the moment. It’s an embarrassment that our national flag carrier is being comfortably out performed by budget airlines but that appears to be the case at the moment.,Manchester,Aberdeen,London Heathrow
585,True,September,9.0,2021.0,2021-09-01,United Kingdom,Solo Leisure,Frankfurt to London,1.0,1,no,"No check in staff for Economy. Never experienced this before. While Business passengers strolled up, Economy passengers were left standing for 90 mins plus.",Frankfurt,London,
614,True,February,2.0,2021.0,2021-02-01,United Kingdom,Couple Leisure,Bridgetown to London,1.0,1,no,"Absolutely appalling experience. British Airways, unfortunately, has lowered it's standards and to my dismay, I've been recently having a much better flying experience with budget airlines rather than BA. Customer service representatives are completely clueless, unprofessional and not bothered.  I recently had my flight cancelled on 3 occasions and the staff weren't interested in helping me return home.",Bridgetown,London,
626,False,December,12.0,2020.0,2020-12-01,United Kingdom,Family Leisure,London Heathrow to Lahore,1.0,1,no,"I had a direct flight from London to Lahore and travelling with them was a nightmare. They did not have milk for my son's bottle, didn't even give warm water for his formula milk. No kids meals, no snacks. Meal portion size was tiny, 1/4 glass of juice. You literally have to beg them for drinks water etc.. Staff was so rude and treated us like trash. If you compare them with Emirates, I would give Emirates 10/10 and British airways 2/10. It's not at all child friendly. I will never travel with them again.",London Heathrow,Lahore,
631,True,August,8.0,2020.0,2020-08-01,United Kingdom,Couple Leisure,London to Santorini,1.0,2,no,"We had a flight to Santorini from LHR at 8:10am. As the flight was full, we had to check in all our luggage. We arrived at the airport at 7:00am, and the queue for check-in was incredibly long because some desks were closed. It took us over 40 minutes to arrive to a desk, and when we arrived we were told that the check-in had closed (at 7:25am) and that we had missed the flight. British Airways staff did not offer us to jump the queue at anytime. The lady at the desk booked us on a flight to Athens instead, telling us that the costs to reach Santorini would be reimbursed. We had to book two tickets worth £200 for a flight to Santorini on the same day. We have just received a response from the Customer Relations service telling us that we would get nothing.",London,Santorini,
638,True,February,2.0,2020.0,2020-02-01,United Kingdom,Business,London Heathrow to Lyon,1.0,1,no,"BA cancelled my flight to Lyon, March/April 2020, because of the Corona crisis. I could not obtain a refund, as the BA website and telephone service made this impossible, it just sent me round in circles. So I opted for a Future Travel Voucher, as this could be obtained via the website. I have now tried to use the voucher for a flight to Munich, and was informed by the website that I have to call BA for this. The Silver card member phone number is inaccessible, as BA has reduced telephone access to one number. I have now called this number five times, each time I was told to call at another time, as 'in these difficult times, they had to protect staff'. This is exactly the same message that I received the many times I called for a refund. Is BA not honouring their voucher system, trying to fob off customers and keep their money? This is appalling business practice!",London Heathrow,Lyon,
654,True,March,3.0,2020.0,2020-03-01,United Kingdom,Business,Johannesburg to London,1.0,2,no,"Just before the borders were closed in South Africa due to Corona Virus, I went to the Airport to find out if the flight scheduled will fly as planned, there was no international flight customer service staff available so I was not able to get a response, the only number available was a UK number which will cost me more than a flight to enquire. Next day I managed to get on board the flight. Sadly due to my fault, I forgot my laptop inside the Aircraft on arrival to terminal 5. I was one of the last passengers to leave the plane. I realised my mistake after I passed security and I was not allowed back into the Airport to collect my laptop which is fair enough and I understand why I could not go back to the Aircraft. They gave me a number to call and I have been calling the number since March, so far it has been zero positive response because they are using a third party company to help you which has zero interest to help you find your lost items. Basically BA does not have means in place for passengers to find their items. My laptop was left inside the flight hence it is impossible for crew staff and cleaning staff to not find it hence I just can not understand how they can not find it bearing in mind it was 100% left inside the plane. Lessons learned, avoid if you can.",Johannesburg,London,
655,True,April,4.0,2020.0,2020-04-01,United Kingdom,Business,London to Stockholm,1.0,1,no,"At check-in desk at T5 Heathrow was told by BA staff that Sweden only allowing Swedish nationals into country. This was contrary to advice on Swedish Government website.  I rang the border control office at Arlanda airport. They confirmed that EU/EFTA/EEA & UK nationals were clear to enter the country. I offered the phone to BA staff to clear up any confusion. They declined and then changed their story saying it was their own company policy. I spent the next hour trying to get through to BA on the telephone for a refund. The calls were being disconnect due to high call volumes.  BA standard of service compared to the other major European airlines was dishonest and obstructive. Furthermore if the other airlines can provide customer support on the telephone or via email at this time BA should be able to do the same. While in-flight staff at BA are still terrific, they are let down by the worst sort of management bureaucracy.",London,Stockholm,
667,True,October,10.0,2019.0,2019-10-01,Argentina,Business,Frankfurt to Buenos Aires via London,1.0,1,no,"Frankfurt to Buenos Aires via London in October 2019. The aircraft is very old with small screens and ample entertainment, which becomes an issue flying +10hrs. The 1 hour layover was a complete disaster. The staff was unfriendly and inconsiderate to me.",Frankfurt,Buenos Aires,London
683,True,February,2.0,2020.0,2020-02-01,South Africa,Solo Leisure,Johannesburg to Dublin via London,1.0,1,no,"Johannesburg to Dublin via London. I get to the counter and require a transit visa. Since when and why if you are in the same terminal even. There was no support, guidance or remorse from the staff. I also had a non refundable hotel booking in Dublin! BA need to communicate such changes.",Johannesburg,Dublin,London
698,True,January,1.0,2020.0,2020-01-01,India,Solo Leisure,Mumbai to Boston via London,1.0,3,yes,"Mumbai to Boston via London. My flight with British airways was really good. The catering was excellent on both flights and even the service was good. However, some of the seats have very limited legroom due to the IFE box blocking space in front of you. Also, BA had misplaced my tennis racket which was checked in. They have a really weird policy that you can't carry your single sports equipment as cabin baggage and instead, you have to check it in. The ground staff was rude at Logan Airport in Boston. Also, they took a week to deliver my racket to my house even though it arrived in Boston 24 hrs after I had come. Even after contacting BA'S Baggage Customer Service, they were speaking rudely to me. They always tried to cut my call in like 2 minutes without even listening to my concern. British Airways needs to improve their ground experience.",Mumbai,Boston,London
721,True,January,1.0,2020.0,2020-01-01,United Kingdom,Solo Leisure,Istanbul to London,1.0,1,no,"Istanbul to London. We had to wait for ages to check into our flight after being advised to turn up 3 hrs before departure time to check in. We had to wait for 40 minutes before any check in staff turned up. Once they did, the staff were surly and rude. On the flight and there was no IFE, no free drink or snack or  a map to track the flight. The onboard crew were a bit chaotic. Serving M&S food for purchase. The flight was not delayed by too much and relatively smooth. However the BA product is now tired and slightly pathetic.",Istanbul,London,
725,True,December,12.0,2019.0,2019-12-01,United Kingdom,Solo Leisure,Copenhagen to London,1.0,1,no,"Copenhagen to London. Super slow, had to wait for buses which were delayed. Also packed the buses to tight with people. Where too far from arrival terminals. Service bad from staff. Coming to Terminal 5 is the worst terminal on Heathrow. The food and beverage on board was terrible for the price. For the price of the airline ticket the whole experience was way below expected service and time of staff.",Copenhagen,London,
739,False,December,12.0,2019.0,2019-12-01,United Kingdom,Couple Leisure,Heathrow to Belfast,1.0,3,no,Heathrow to Belfast. Great service in Belfast but absolutely shocking in T5 at Heathrow. Very rude check in staff when told we had to print out boarding passes and also for our suitcases. Totally disgusted. Cabin crew were lovely on the 12.40 flight to Belfast on 9th December.,London Heathrow,Belfast,
751,True,November,11.0,2019.0,2019-11-01,Norway,Business,San Francisco to Oslo via London,1.0,1,no,"San Francisco to Oslo via London. The head support was damaged, so I had to sit 10 hours leaned forward. The flight from San Francisco was delayed, so I missed my connecting flight in London to Oslo. I came first to the BA counter, but received a new flight 3 hours 15 minutes later. Rude staff gave me a voucher for 15 GBP.",San Francisco,Oslo,London
765,True,November,11.0,2019.0,2019-11-01,Australia,Couple Leisure,New York to Paris via London,1.0,1,no,"The flight departure was delayed due to what the Captain described in his announcement as a ""mix up"" with paperwork. Disembarkation was delayed due to what he also described as a ""mix up"" with landing bridge allocation. So the plane had to taxi around the runway until a gate was found. We missed our connecting flight. The staff in purple at the airport who are supposed to help passengers find connecting flights didn’t know what to do. We ended up being shunted onto another flight resulting in a four hour delay. All of this inconvenience is due to BA’s incompetent management. My seat would not recline and the food was just carbohydrate filigree. The flight attendants are rude. It used to be a good airline.",New York,Paris,London
775,True,October,10.0,2019.0,2019-10-01,United Kingdom,Couple Leisure,London to Belfast,1.0,2,no,"London to Belfast. British Airways bullied my parents and spoilt a special occasion. I booked my parents on BA to attend my investiture at the Palace. My mother had a heart attack 3 months ago and this was her first flight post recovery and I had chosen BA expecting the best level of service. Instead they were treated appallingly and felt bullied by the airline staff. My mother suffers from claustrophobia and always requests an aisle seat and I booked my parents on 2 aisle seats side by side. I printed their boarding passes out myself with seats 24c and 24d. On arrival at check-in, one of the boarding passes was not recognised by the scanner so assistance printed out a new one. On going through security the boarding pass was again not recognised and a new pass was printed. Once my parents arrived at the gate they noticed that one of the seats had been changed. My father explained the situation but the rep at check-in started quoting the ‘Geneva convention’ that BA are only contracted to get them from A to B and could change seats if they wanted. Waiting at the gate to try and resolve the situation and eventually with 5 minutes before airborne they were rushed into the aircraft and forced to sit apart with no care for their welfare or circumstances. At no stage did they receive any apologetic words. For someone recovering from a heart attack, this was an unnecessary stressful event and spoilt what had been a special family occasion. I have been holding on with the hope that BAs slide from grace will halt but seem to be constantly disappointed. I will await BAs response to my parents; I know they will not fly the carrier again but I will be handing back my BA Amex and all points if an appropriate apology is not issued. Will update! In summary, don’t trust BA with your loved ones care.",London,Belfast,
782,True,October,10.0,2019.0,2019-10-01,United Kingdom,Solo Leisure,Jeddah to London,1.0,1,no,"I was travelling from Jeddah to London with a bag. I arrive 1 hour 30 minutes earlier but the check in counter was closed, I tried my best but there was no staff to help me so I have to leave my bag as I was not allowed to take the bag on the plane. In London I made a complaint but they were saying that we can’t do any thing and to get through to customer service the phone call takes about 1 hour and 47 minutes of wait",Jeddah,London,
789,True,October,10.0,2019.0,2019-10-01,United Kingdom,Solo Leisure,London to Malaga,1.0,1,no,"London to Malaga. A terminally ill airline packed with clueless staff full of attitude. At the checking at Gatwick airport, I was told the flight might well be delayed of 2h as not departed yet from Malaga. SMS confirmed the delay without a new time of departure and provided a link for flight status. At Gatwick, there are no arrival/departure boards prior to security for me to check if the flight was on time as shown online. When asked the BA guy at the lounge kiosk, he said I could check the link provided or go through security where monitors are. Surprisingly the flight was on time and no text was sent for an update. At the gate, we were told the aircraft was replaced. No apologies from anyone neither ground nor on the flight. We boarded at 5 pm and took off at 18:15. Stiff and no recliner seats. Cabin crew are so sociopathic and full of attitudes. 6 additional seats are replacing the 2 toilets located at the back of the 320 and located at the very far end of the aircraft in the cabin crew storage room and working space is. Horrible low cost service for a flag carrier ticket price.",London,Malaga,
822,False,August,8.0,2019.0,2019-08-01,Italy,Family Leisure,Chicago to Zurich via London,1.0,3,no,"Chicago to Zurich via London. Delays after delays. The flight was supposed to depart at 8:30 pm (Chicago Time) but was scheduled at 9:40 pm, we waited a long time at the airport. Finally, at 10 pm we managed to board on the A380 for my first time but the legroom was horrible. The IFE completely unfunctional and with no food served. During the taxi, a technical problem occurred and we returned to the gate. In the end, the plane took off at 12 am Chicago time and we arrived in London Heathrow at 2 pm. We had to wait 3 hours for boarding for another 30 minutes delayed flight. We arrived in Zurich on an old A319 at 9:30 pm Zurich time instead of the original 3:30 pm. Very stressful at least the staff were nice.",Chicago,Zurich,London
854,True,August,8.0,2019.0,2019-08-01,Hong Kong,Couple Leisure,Hong Kong to Copenhagen via London,1.0,2,no,"Hong Kong to Copenhagen via London. The whole experience is a nightmare to me and my wife. My wife lost her luggage ever since the first day of our journey on 1st August because our two pieces of luggage were left in Heathrow Airport by BA staff when we took the transit flight from the UK to Copenhagen. We went to Menzies in CPH and they filed a repor. We stated in the missing report that if the luggage was found, they should be sent to our air b&b house in Marstal in CPH on or before 3rd August or deliver to the hotel we stayed in CPH if they were found on 4th August. On 2nd August, we found that the updated status of our missing luggage in the BA website showed that one of our luggage was found while another one had a possible match. Therefore, we kept phoning and emailing Menzies staff to urge them to send the luggage to our house but they failed to do so. And the website status showed that we chose to pick up the luggage in the airport, which was not our preference but we failed to change the preference on the website as it was preset. The system even changed the latest delivery date to 3th August 2020 instead of 2019 and we could not correct it by ourselves! On 3rd August, Menzies staff still failed to deliver the luggage to us so we told them we decided to pick them up at the airport. Unfortunately, when we went to the CPH airport on the 4th August, they told us that they had already sent the 'found' luggage to the island in Marstal on 4th. Apparently they did not follow our instructions and sent it to the wrong place on the wrong date. They then asked us to find the other luggage that had been scanned with a possible match randomly in the trolleys outside their office. We did find the other one by ourselves in the airport, which they claimed had been sent to the island but they insisted that it was the possible match one! They were so incompetent and even asked us to complain to the BA to push them to find the baggage for us. We believe that the baggage was the one which was sent to the island but is still missing but the staff messed it up. We were so confused which bag was really missing. We finally decided to ask them to deliver the luggage in Marstal to the airport and send it to the UK address which was our next destination. When we came back to the hotel in the evening on the 4th, we phoned Menzies again and found out that our luggage in Marstal had been sent back to the airport at 8 pm on the 4th. Hence, we decided to pick it up by ourselves on the 5th August before we flew to the UK. However, when we came to the airport again, we couldn't find our luggage and the staff didn't explain why and just told us to leave. If the luggage was sent it to the airport on the 4th, how come it would disappear on the 5th? The staff just kept saying that they were busy and that no one had time to look for the baggage for us. This service was totally unacceptable. We spnet hours parking at the airport and found that we got nothing! You can't imagine how furious and frustrated we were! We are literally sick of phoning Menzies staff every day and not getting anywhere. Now that Menzies staff asked us to pressure BA to in turn pressure them to locate our luggage. That's how ridiculous things have been for us. We are sure that you could do something about it. My wife has lost all her personal belongings since day 1 of our trip.",Hong Kong,Copenhagen,London
856,False,August,8.0,2019.0,2019-08-01,United Kingdom,Solo Leisure,London to Dubai,1.0,3,no,"Inflight crew were very helpful, polite and caring. Though you can not call the in flight service as luxurious compared to some airlines, it was quite pleasant. The food and drink selection was pretty basic. However the ground staff especially at the check in counter in DXB and lost & found at London heathrow were rude and very unhelpful. I forgot to collect my suit which I had handed to crew member at the time of boarding. Upon approaching the BA counter, the personnel were not willing to help or register a lost and found complain.  Neither any empathy nor any willingness to help.",London,Dubai,
860,True,August,8.0,2019.0,2019-08-01,United Kingdom,Family Leisure,London to Larnaca,2.0,1,no,"London to Larnaca. New A321neo, 4.5 hour flight. The aircraft was narrow, the food simple nothing worth spending my money. The staff was friendly but spending money on a 5 hour flight on such a small plane doesn't worth it. No entertainment onboard. It is a small plane for this duration.",London,Larnaca,
863,True,June,6.0,2019.0,2019-06-01,United Kingdom,Business,London to Glasgow,1.0,1,no,"London to Glasgow. BA customer service is unquestionably the least helpful, least accommodating, least friendly and least responsive so called service available. They clearly train their staff in the multitude of ways to frustrate their customers. I will try to avoid this airline from this point on.",London,Glasgow,
870,False,August,8.0,2019.0,2019-08-01,United Kingdom,Solo Leisure,Heathrow to Glasgow,1.0,1,no,Heathrow to Glasgow. Again flight is delayed. It’s easier to use the train than fly with BA the staff don’t even get embarrassed anymore and stand smiling offering apologies to the tired and weary customers. Trouble is there is no other operators and it a case of take it or leave it. Very tired and disappointed to be paying my hard earned salary for this terrible service.,London Heathrow,Glasgow,
901,True,July,7.0,2019.0,2019-07-01,United Kingdom,Couple Leisure,Frankfurt to London,1.0,1,no,Frankfurt to London. BA staff watched while security went through partner's bag for around 30 mins. It required a call to police who sauntered up and stared at the bag for a while - actually just clothes. When they were finishing the flight dispatcher closed the flight. Only 1-2 minutes required. Much longer spent unloading my luggage. We had checked this bag in almost 2 hours previously and arrived at security in plenty of time.,Frankfurt,London,
902,False,July,7.0,2019.0,2019-07-01,United Kingdom,Couple Leisure,London to Olbia,2.0,1,no,"London to Olbia. Complete confusion. The plane was delayed getting to Sardinia, and so we waited: but following check-in at Sardinia we were penned into long lines, no seats, extreme heat and no water in the queues. The airport staff in Sardinia appeared to be overwhelmed. Finally got onto the plane and we’re now delayed on the tarmac. We are due to depart more than 3 hours after our scheduled departure time, but so far still stuck on the tarmac with few updates. No water provided. I felt unwell but was told they had no glasses, so nothing to drink. Numerous small children with no hydration and high temperatures. After a second time of asking, I was told I could buy a drink once we took off, but they have no idea when that would be. They need to abandon the flight at this stage before more people become unwell. Cabin crew just standing there, doing nothing but looking perplexed",London,Olbia,
917,True,February,2.0,2019.0,2019-02-01,Australia,Solo Leisure,Amsterdam to London,1.0,1,no,"Amsterdam to London on 15th April. I arrived 3 hours before flight where I waited in line for an hour while staff attended to checking people in a what seemed like a turtle paced snail like sense of urgency. After that rather lengthy delay.When I got to the gate on time, I was told the gate was shut. Thinking it must have been some kind of joke, I noted with the British Airways representatives saying that I was on time. She replied yes but you were the last person, everyone had made it before me, my bags were already offloaded she continued to say.  After asking what do I do now? Not having the ability to ring abroad I asked if they could help me which they replied saying there is no Qantas office in Amsterdam and they cannot help me.",Amsterdam,London,
923,False,June,6.0,2019.0,2019-06-01,United Kingdom,Solo Leisure,Newcastle to Delhi via London,1.0,1,no,"Newcastle to Delhi via London. At check-in , I was charged for carrying 2.8 kilos extra, which is of no problem. I paid a total of £65 for 2.8 kilos. On my flight from London to Delhi, during boarding I asked for water to which the attendant told she would get but she was busy as customers were boarding the flight. I then  asked for a bottle of water  which she seemed to forget.  2 hours into the  journey, my in-flight entertainment system got stuck on the TV and Radio feature. When the dinner was served, Ithe meal consisted of chicken gravy and mash, along with bread butter and a mousse. Delays caused by British Airways resulted in the flight reaching Delhi late and me missing my connecting flight. But as I landed at Delhi and picked my baggage from the belt, a British Airways staff was ready with another ticket from Delhi to Mumbai without me even asking.",Newcastle,Delhi,London
932,True,June,6.0,2019.0,2019-06-01,United Kingdom,Couple Leisure,Newcastle to Berlin via London,1.0,1,no,"Just checked in for a flight from Newcastle with BA. The check in process was disgusting. 45 minutes queuing. 2 BA staff working in two desks, one of which was a virtually empty priority queue in which the female checking assistant spent a large proportion of her time chatting to a colleague from Air France in the adjacent desk! The process was ridiculously slow with each check in taking several minutes. When the priority queue representative deigned to check economy passengers, she seemed to take an eternity. In the 45 minutes it took us, the queue never dropped below about 100 people. I have never queued in a slower or more disorganised check in desk. The adjacent Jet2 desks had seven staffed desks and I counted 14 staff! The “welcome” sign displayed at the BA desk should have been located at the start of the queue with the additional wording of “you’re in for a long wait”. To cap it all, after enduring the queue, we’re now delayed 40 minutes thus far! So unprofessional!",Newcastle,Berlin,London
947,True,May,5.0,2019.0,2019-05-01,United Kingdom,Business,Lyon to London,1.0,3,no,"Flight was OK, minor delay didn't both me. What was astonishing is that we had to wait an hour or so to drop off our luggage because at Lyon Airport they were training new ground staff at the same time? They continued doing this even though the cue became pretty huge and time started to run out to make it to the flight.",Lyon,London,
951,True,May,5.0,2019.0,2019-05-01,United Kingdom,Couple Leisure,Marseille to London,1.0,2,no,"Marseille to London. I am generally annoyed with the quality of the service. I believe that we should not have to pay for a glass of water with slice of lemon in a BA flight. I realised that I forgot a big duty free bag in the plane after the passport control. I went to the BA Helpdesk, the staff sent me to terminal 5 at the lost and found to pick up my bag while it was not even there. Luckily, I decided to stop on the way in the lost and found of terminal 3, where they (the friendly lost and found staff and not the BA staff) nicely explained me that there was no point for me to go there and called some other agents to help me.",Marseille,London,
1000,True,March,3.0,2019.0,2019-03-01,United Kingdom,Couple Leisure,Tenerife to Heathrow,2.0,1,no,"Tenerife to Heathrow. Effectively a budget airline masquerading at premium airline prices. Have flown several budget airlines in the past which have offered far more in terms of value for money and service. Seats are rigid and I felt as if I was leaning forward for the the majority of the flight. When I tried to put my seat back to recline, I estimate it moved around 5 degrees. Leg room is also non existent. M&S food ran out halfway through the 5 hour flight and although cabin crew were apologetic, for food to run out during a lunchtime flight is inexcusable and highlights how badly the airline is being managed by the upper echelons. Furthermore, several other budget airlines at the airport had flights leaving directly from the terminal requiring no bussing of passengers. BA again in a move to save money opt for bussing passengers to the far reaches of the airport to avoid paying extra charges for utilising direct access from airport terminals. Can't fault the staff onboard who are clearly dedicated to the BA brand. They are professional, friendly and courteous. It's clear that British Airways are not the airline they once were and I hope that passengers begin to vote with their feet as drastic changes are needed to bring the airline back to its former glory.",Tenerife,London Heathrow,
1030,True,February,2.0,2019.0,2019-02-01,Spain,Couple Leisure,Baltimore to London Heathrow,2.0,2,no,"My husband and I flew on British Airways flight BA-228 from Baltimore to London Heathrow leaving on the 12th February 2019. Every aspect of the flight was poorer than what budget airlines have to offer. The plane was shabby and dated. The seat reclining facility did not operate properly, was not that comfortable, and we had less legroom than the equivalent with budget airlines. The touch screen TV monitor was not working properly. One ear bud on the headphones did not work. The audio socket was too loose for the headphones so the plug kept falling out making it difficult to enjoy the in-flight entertainment (which in itself had a dated choice). The pillow was disgusting and kept falling out of the flimsy cover. The air conditioning lacked consistency alternating between very hot and very cold air. The restroom occupied sign always lit up as vacant even if it was occupied. However what made the flight very unpleasant was the bad attitude of the cabin crew. They were abrupt, unfriendly and quite clearly did not want to be there. There was one exception, an extremely pleasant older crew member who greeted us on and off the flight. There did not appear to be any organisation or smooth co-ordination when distributing the meals. Our two trays of food where placed on top of each other and practically thrown at us by a sour faced crew member. This flight was one hour late making us nervous about catching our connecting flight. There was no information or instructions given to us about connecting flight gate numbers before we landed. Unlike all the other airlines that I have travelled with there were no staff member greeting the connecting customers to point them in the right direction or re-assure them. British Airways would be my last choice of an airline to travel with and I would only fly with them again if there was no other option.",Baltimore,London Heathrow,
1043,True,February,2.0,2019.0,2019-02-01,India,Solo Leisure,Edinburgh to Bangalore via Heathrow,1.0,1,no,"Edinburgh to Bangalore via Heathrow. Rude staff, poor service, missing baggage, poor entertainment system. I spilled my drink and the attitude of the staff was brutal. I apologised for my clumsiness, but I was made to feel like I had deliberately done some shameful act in public and staff would not want to have anything to do with me. I asked for tissues and the answer was, get it from the toilet. The staff did not even have the courtesy to ask me if I needed another drink once I cleaned myself up. The crew were also extremely noisy. Chatting and laughing loudly at the pantry place for the entire duration. And then - while boarding at Edinburgh, they offered to check in my second bag for free because cabin was full. The staff wrote Bangalore via Heathrow, but my bag was not loaded to connecting flight. 4 hours gap mind you.",Edinburgh,Bangalore,London Heathrow
1070,True,October,10.0,2018.0,2018-10-01,United Kingdom,Business,Stuttgart to London,1.0,1,no,"I forgot I had purchased a hand baggage only fare. At the airport I was charged more than 60 euros for my bag which came out as almost as much as the fare itself cost. The staff at check-in could not have been less helpful. The whole experience was of a bad low-cost airline. Boarding process saw me in Category 5 having to board last, not so much as a glass of water is offered. The seats have very little legroom and just one toilet for the A319 economy cabin.",Stuttgart,London,
1073,True,December,12.0,2018.0,2018-12-01,United States,Couple Leisure,London to Athens,2.0,4,no,"London to Athens. We were fortunate to get exit row seats in advance. They were spacious with plenty of legroom. They had more width than the cramped Boeing 747-400 that we had just flown in on. We each had a carry on; however, during the transit process, British Airways ground staff made us check one of our carry on bags.  I have no idea what criteria they used to select passengers to check their carry on bags. Bare bones service, no meals (which is okay), no complimentary soft drinks or water. Bottled water was available for purchase. In hindsight, we would have been better off flying on Aegean Airlines.",London,Athens,
1076,True,December,12.0,2018.0,2018-12-01,United Kingdom,Solo Leisure,London to Berlin,1.0,3,no,"London to Berlin scheduled for 21st December. On approach to the airport, I got a message saying that my flight was canceled. No explanation was given. As I arrived at the airport, staff acted very confused and said their rerouting center is closed for the evening due to issues, and if I wanted to travel in the next days ahead of Christmas I should book my own travel with another airline or train company (e.g. Eurostar). My costs would  be reimbursed. The airport staff also said no further help from British Airways is available on the day to due airport issues. I felt the only way out was to rebook myself with a different airline for a hefty +300 GBP fare for a short haul flight for the next day. As it was Christmas, prices were very high. After I arrived at my destination, a lengthy exchange of messages with British Airways started, and British Airways said in the end they do not compensate costs for rerouting with a different airline (opposite to what their airport staff said on the day of cancellation).",London,Berlin,
1085,True,December,12.0,2018.0,2018-12-01,United States,Solo Leisure,Los Angeles to London Heathrow,1.0,2,no,Los Angeles to London Heathrow. Very poor customer service. I checked in 3 hours prior to my flight departure asked  can I have aisle seat and she just said no. I asked her why and she replied that they don’t have any. In the plane there is no place for my bag and the staff said sorry sir we don’t have space and you can put that underneath your seat. They served dinner and said we don’t have any more chicken so you can have pasta. I told him I don’t like pasta and do you have any vegetarian food. He said the pasta is vegetarian.,Los Angeles,London Heathrow,
1105,True,November,11.0,2018.0,2018-11-01,United Kingdom,Solo Leisure,Manchester to London,1.0,2,no,"Manchester to London. The bag drop process took an hour even though I had checked in already. The staff offered little apology, explaining that there was a big group ahead and they could do nothing about this. Staff on the flight were clumsy and rude - one attendant dropped a water bottle on my shoulder and offered the merest apology. Another flight attendant didn’t bother to ask customers in the last rows if they wanted refreshments. Not exactly best of British, and I’ll certainly not be recommending!",Manchester,London,
1114,True,November,11.0,2018.0,2018-11-01,France,Solo Leisure,London to Lyon,1.0,1,no,London to Lyon. The flight has 1h 30 delay for a flight duration of 1:30. Ground staff forced me to check-in my suitcase during boarding process due to lack of space in the plane and I got my suitcase damaged with 2 big cuts on the back. Then the customer service has been very useless. Such a very bad experience. I do not recommend flying with them.,London,Lyon,
1118,True,November,11.0,2018.0,2018-11-01,United Kingdom,Couple Leisure,Buenos Aires to London,1.0,1,no,"Buenos Aires to London. We flew overnight Friday 9th November. The plane seating is worn out and uncomfortable, there were large numbers or Argentinian passengers on the plane yet I saw no staff that spoke Spanish. The chicken dinner was described as Curry but there was no sauce on it. The bread roll was stale and dessert stodgy, During the night no water was offered to me. It was not possible to charge electronic equipment, the seatback screens were small with a limited choice of entertainment.",Buenos Aires,London,
1132,True,October,10.0,2018.0,2018-10-01,France,Couple Leisure,London to Cape Town,1.0,1,no,"London to Cape Town.  Waiting at gate, the staff announced flight will be delayed because cabin temperature is too high. Air conditioning problem on board. She said all doors of aircraft have been opened, lights dimmed or switched off to decrease temperature, boarding will start as soon as possible. Finally one hour after take off temperature became acceptable.",London,Cape Town,
1186,True,April,4.0,2018.0,2018-04-01,United Kingdom,Couple Leisure,Amman to London,1.0,1,no,"Amman to London. Appalling service both on the flight and subsequent customer service. We are strict vegans so pre-booked vegan meals for our flight. Meals were delivered as usual, and had the vegan slip on them, but as I was about to start eating I noticed that I had been given butter - this made me doubt the authenticity of the meal. When I called the staff over she had no idea what a vegan was, informing me that there was no meat in it. I had to explain to her what a vegan was (i.e; no dairy or eggs). It turns out that the so called 'vegan meal' had milk and egg in it. Needless to say we did not eat our meals and they had no vegan meals. Shortly after they came around with the drinks/trolley, so we asked for a coffee with Soya Milk - the staff to whom I had had to explain what a vegan was said ""oh I don't think we have that, but we have semi skimmed milk"". I had to re-explain to her that a vegan does not have milk she said she would go and ask. When she returned she said 'We don't provide that sort of thing."" That was strange, because 2 weeks ago on the outbound journey you did. So we had no meals, no hot drinks, and our video screen did not work. The Customer Service that followed from was more appalling, they could not care less, it took ages to get replies and when i did I was just palmed off. After several months of having to write emails I was informed that I had to submit everything by letter as they needed it on paper, which was just another way of getting rid of us. So we did this, after several more weeks they offered us the most pathetic compensation - basically the value of the meals that we could not eat - in vouchers.",Amman,London,
