,verified,month_year_fly,country,aircraft,type,food,money_value,recommended,review
1345,True,2018-02-01,United States,Boeing 777,Business,1.0,1,no,"Chicago to Chennai via London. The pilot and captain were top class - the flight was delayed by more than 4 hours - but they made it up to 2 hours and was smooth. Chicago check in staff unfriendly, it took them 28 minutes to serve 2 of us. The only thing they tried was to upsell me into First Class. Meals - excellent choices veg or non veg is all the crew asked business.  My co passenger asked for a menu - answer - you are booked for veg meal - so that will be served. He asked for drinks menu - answer - ""What do you want?""  The seat was claustrophobic,  closed and uncomfortable. The crew was unsmiling."
1349,True,2017-07-01,United Kingdom,Boeing 747,Couple Leisure,1.0,1,no,"London to Phoenix. Decided to pay to travel First class for a big birthday. Upon arrival at terminal 3 for check in I was disappointed to see no separate check in. just a young girl with a couldn't care less attitude behind a temporary room divider. Off we went to the lounge and this was atrocious, uninterested staff on the door, huge dirty plastic floral arrangement on entry that should have been binned a long time ago. The lounge looked like council offices hugely disappointing and the food offerings were not good. On board was no better a scrum at the boarding gate so not called first - was followed by a filthy seat, a screen that wouldn't stay up and a meal service that even the very nice onboard staff apologised for as she put it in front of me. Our return in Club from New Orleans was not much better, no separate check in no lounge but a $30 voucher to use in the one bar that is still open at this time of day again a filthy seat and a broken arm rest. I love BA onboard crew in general but I will never fly BA again."
1354,True,2018-02-01,United Kingdom,Boeing 747,Couple Leisure,2.0,2,no,"The best thing about this flight from London Heathrow to Miami was it’s punctuality. However having got up at 5am for the flight time at 10.45, if we hadn’t eaten breakfast in the airport we would have been starving by the lunch service, which was served what seemed like a long time after take off. 6 hours after the mediocre lunch were were served an even more mediocre sandwich. Only one cabin staff for premium economy service meant drinks and meals were served very slowly by the hard worked lady. Aircraft an elderly 747 and showing its age. Screen tiny, scratched and hardly worth looking at. We have flown similar routes on Thomas Cook and TUI planes and the service and comfort of their new aircraft was miles ahead of this BA flight, which I think is shameful for the national carrier."
1356,True,2018-02-01,United Kingdom,A319/320,Couple Leisure,2.0,2,no,"Flew short haul business class with British Airways, Manchester - Gothenburg via London Heathrow. It's a diffcult one to review, some aspects of the travel were excellent and others unacceptable. We used points to travel, so what we paid was fine, though would never pay a full BA business short haul fee. We have family in Sweden so took 70kgs (gifts etc) of luggage with us for our four night trip. Check-in was fine both ends, all fights on-time (just about) and no luggage issues, a positive. The staff were friendly though clearly demoralised and actively encouraged to email/publish our concerns. We had a mixture of fortunes with the catering MAN-LHR, nice cold meat platter (30 min flight). LHR-GOT three dried up finger sandwiches, no alternative offered, were told could not take from the M&S menu in economy either. One reason for this, because we ordered an asian veg meal once years ago and apparently this stays on the system. I was told to change my profile details on BA site - once home I looked it clearly says meal options - none, i.e. no special menu (confusing to say the least). Thus the catering became an issue on the remaining three flights. We were told in economy you had to purchase everything, even water, however if in an emergency tap water could be provided - so much for a full-service airline! Any newspapers also gone from business class. On LHR-GOT route there was no divide put up between business and economy, so a 'free for all' to the front toilet. Leg room not great, even fully paying business class passengers have to purchase a seat (more than 24h) in advance (£21 for the frist row and £18 for the rest), which is ridiculous if you had paid £400 return. Lounges OK - preferred MAN to LHR (which is busy and looking worn already). The down-scaling of BA and the mix of pretending to be a full-service airline, but having budget airline ideals and practices is both confusing and not on. The FAs were a saving grace, though rest assured, they are not happy. We'll use up our existing points, though definiately not our airline of choice."
1369,True,2018-01-01,United Kingdom,,Couple Leisure,2.0,1,no,"I had booked business class with my friend as this particular trip was planned to mark a significant milestone in my life, my 50th birthday. On this occasion, I had invested in an upgrade and as such I expected nothing less. For 15 hours on an overnight flight I had to sit in economy whilst my colleague was in business class. I was downgraded as BA overbook their flight by 10%. Their offer of compensation was £200! I am also waiting almost one month later for a refund in the difference in price between economy and business class. This experience has caused undue stress and at this point I am reluctant to use their services in the future. Their dismissive response completely contradicts their consumer promise and values: “Meeting the rising expectations of our customers remains central to our strategy of transforming British Airways into the world's leading global premium airline. Our investment in our staff, our fleet and our facilities are all about making sure we provide the very best in customer service.” The experience with BA has resulted in a negative end to what was a bucket list holiday! I feel I have a duty of care to other consumers to share my experience!"
1370,True,2018-02-01,United Kingdom,Boeing 777,Solo Leisure,1.0,1,no,"Flew London to Bengaluru. British Airways have reached a new low. Flight boarded on time, but twenty minutes before departure the pilot announced that take off would be delayed as luggage was still to be loaded, and engineers were working to replace a pin. Two hours twenty minutes later flight was finally airborne. Cabin staff throughout the the flight were unpleasant and unhelpful. The BA premium is product nowhere near as good as other operators economy offering. The promised fine China dining experience only relates to main course. All other food and drink was served in plastic. The entire meal came on a cluttered tray, dumped on to tray tables with no finesse whatsoever. The chick pea starter was icy cold, the main course lamb over cooked, tasteless and inedible. Dessert and cheese portions were minuscule. Entertainment screen was marbled and very small. Reformatting films to fit to near postage stamp proportions made viewing impossible. Breakfast service made no pretence to premium service. Served on plastic and to be eaten with plastic cutlery. A very unpleasant experience. I have no wish to repeat, but sadly I have to return to Heathrow in the same way."
1386,True,2017-12-01,South Africa,,Solo Leisure,1.0,1,no,"Johannesburg to London. Awful, pathetic service and staff attitude so nonchalant. My seat area was absolutely filthy. When I asked the stewardess to assist, she looked at me like I was such a nuisance, made clicking sounds and picked up some fruit peels nuts and piece of paper.  Between 3-4am in the morning, I went in search of snacks. Found the cabin staff in the kitchen area. When I asked, please may I have some snacks, I was told to get it myself from the side counter and the staff continued with their conversation. Not one them got up to assist, not one of them had replaced any of the snacks (the counter was empty, only about 3 crisps available and 2 chocs), they kept serving the person next to me, over me instead of going around me, didn't matter that they blocked my viewing - that is fine and understandable, but no excuse me, please can we, nothing. Rudeness at it's best. If you asked anything, the stewardess made it look like an absolute chore, and made one feel like you were being a burden."
1398,True,2018-01-01,United States,Boeing 777,Business,1.0,1,no,"London to Dubai.  This was a terrible flight with grubby cabins, same old menu but worse still people from economy taking the seats in business without upgrade or paying. The staff were indifferent on complaints and eventually led to removing them after abusive language. If BA actually knew their premium passengers they would have avoided this."
1411,True,2017-12-01,United Kingdom,Boeing 777,Family Leisure,1.0,1,no,"London to Houston. Executive gold club refused to help me or keep us informed about the case that did not get put on to the flight they subsequently missed another two days of flights at 6 possible flights per day. The staff were steadfastly of the opinion that this is not problem because we have received a card with 801 USD to buy essential items and that is sufficient in their eyes, furthermore they were more interested in leaving to go home and had ticked all the boxes at their end. Needless to say that because we are away for Christmas & New Year we cannot wear the basics for dinner another fact that really made no impact nor was it of any consequence to gold club team. I repeatedly explained that we could not attend dinner without the proper attire which is currently residing in the case that BA and baggage handlers have deemed less than priority. Because we have been given 801 USD No phone calls can be made to update us and the website advises that they are currently looking for the luggage which would be the same case that was dismissed from being loaded onto today's flight. Furthermore the suitcase could go on a minimum of 6 flights per day including the actual day it was not sent as there was a later flight which would have reunited the bag with the owner & negated the requirement of giving us 801 USD in the first place The callous disregard and blatant contempt displayed throughout this ordeal has ruined our holiday to the extent that we have requested BA return us home where we can collect the suitcase ourselves. The tag that may have fallen off is of no concern as everyone is well aware the shell of the case has the bar code stickers on it for that exact reason so that you can track the items."
1426,True,2017-11-01,United Kingdom,A319,Solo Leisure,1.0,2,no,"London to Berlin Tegel return. It's becoming ever more difficult to notice any difference between British Airways and the budget airlines. The only saving grace is that I've never experienced any issues flying out of or into T5. Noticeable cost cutting measures include the removal of complimentary onboard food and drink but also, BA have removed a toilet in economy within their A319 fleet to make space for seats in row 24 and 25 meaning there is only one economy toilet, disgraceful. My flight to Berlin was busy and the line for the sole toilet existed throughout the duration of the flight meaning the flight attendants couldn't offer an efficient trolley service and involved a continual display of other passengers weaving in and out of aisle seats. I feel for the staff who often work tirelessly."
1427,True,2017-11-01,United Kingdom,Boeing 777-200,Family Leisure,2.0,1,no,"Flew London Heathrow to Dubai. Arrived at the new ""Wing"" at T5. A quick process and into the Concorde lounge. I noticed (as before) the check in staff do not mention the Concorde lounge per se. ""Just straight through there sir and into the 1st class lounge."" This option was rammed. Am pleased to confirm that the Concorde lounge has had a long overdue make-over. It looks a bit better. Had a snack and a few glasses of fizz - then made my way to terminal B. Friendly FA showed me and wife to our seats. Looked freshly cleaned. Pushed back on time. 1st Class was full. Airborne I had dinner: Mezze to start which was nice. Some chicken thingy for mains - which was horrible. Cheese and biscuits to conclude. Wines were ok. The seat (the new ""First"") - is not wearing well. Looking somewhat tired. Managed to get some sleep on the ""bed"" with the usual duvet and blankets. I am a tall guy and need the space. the Club World option is horrendous. Very pleased to confirm that Mr Alex Cruz (BAs CEO) has re-introduced flowers in the 1st WC. Readers will recall he cancelled these last year to save costs. If Mr Cruz wants to save costs he should get rid of the gas guzzlers 747-400s. So a full 1st cabin will generate about £40,000 of revenue. The flowers (for 2 WCs) probably cost £8.00 - so, pleased to see the airline is still flying and not gone bankrupt over the re-introduction of eight quids worth of flowers per flight. The 1st product is very mediocre compared with say Emirates. Some have said its ""sort of an upmarket Business class"". I'd agree with that. One would think, BA would want to make a big impression on this route - with at least some high end food. ""Logic"" is not something BA seem to understand - given the high level of negative reviews on this site. Very disappointing."
1428,True,2017-11-01,United Kingdom,Boeing 777-200,Family Leisure,2.0,2,no,"Flew British Airways from Dubai to London Heathrow. Arrived at Dubai airport, checked in - and endured horrendous security. Not BAs fault. Walked miles to the ""new"" lounge. It's a weird set up. You walk through the Club option, with a considerable variation of food - to a tiny room with small options of food. Seating very mediocre. Made our way to the plane. Departed bang on time. Airbourne I went for lunch straight away - after a couple of G&Ts. Arabic lamb starter. Boring and tasteless. No other options. Skipped the soup. Had a salad. The beef mains was very good - not exceptional and no wow factor. Just nice. Red wine was OK - mid priced stuff at about £25 a bottle. My wife was told the beef was now ""unavailable"". My friend had beef and so did I - when challenged on this I was told - only 3 beefs aboard! This flight was again full and had been for weeks. 14 people. 3 beefs. A joke. My wife had an Arab dish which she did not like. When it came to coffee, my friend, then I - had a choice of chocolates. My wife then had the box offered - only to have it more or less demanded back by a pushy FA. Most BA cabin staff are good - this one was a PR disaster. Flight was smooth all the way home. Another sad experience from our national carrier. Definitely not worth some of the extreme prices posted for this route."
1429,True,2017-11-01,United Kingdom,Boeing 777-200,Business,2.0,2,no,Flew British Airways from Saint Lucia to London Gatwick. Agree with other recent reviews: BA quality is severely lacking compared to other Oneworld carrier’s business class. We were not addressed by name. Staff seemed rushed and not proactive at all: had to ask for anything we required. Not all breakfast items were available. Seat space and comfort seriously under par. Nobody came to collect rubbish prior to landing so it remained on the floor in front of me. Did not feel like valued customers.
1456,False,2017-10-01,United Kingdom,,Solo Leisure,1.0,1,no,"Flew London to San Francisco. British Airways provided a functional, disinterested service on this ten hour flight. We were given what was necessary and certainly no more. Ignored for five hours, not even a glass of water offered and it was made clear that the staff were happy to do the bare minimum and no more. If you have to go with British Airways, do, but if you can avoid them then I would. In the interest of fairness I have informed the customer service team at British Airways of my experience - so far I have been ignored hence writing this review."
1457,False,2017-01-01,South Korea,Boeing 787,Solo Leisure,2.0,3,no,"London Heathrow to Seoul Incheon. I was flying my return leg back to Korea after a Christmas vacation. I had not had a pleasant experience on my initial leg and unfortunately had no better experience on the return. To start with, i was unable to pre order my meal on line due to a technical fault. Having not had my selection available on the outbound leg (in business class!) i wanted to ensure i had something for my return. I couldn't pre book and of course when offered the meal by the cabin crew they had AGAIN run out of 50% of the available selections. Quite disgraceful. I was also unable to check in on line, so i was ""directed"" by staff to use the kiosk at the airport which also did not work. Eventually i made it passed the staff and was allowed to queue for the business class check in. The rest of the airport process after that was smooth. This time i sat at the rear of the business class cabin in the window seat. This meant that I did not have to step over somebody else feet and legs if I wanted to get out of my chair in flight. Of course I had to pay extra $'s for the seat selection in business class - a point which i have made before about being very unhappy about in a premium cabin. The flight was uneventful. On this occasion I had a very warm crew for which I appreciated. Overall I still feel that BA is just too cheap on it's product and this is not an acceptable practice especially in a premium class. Frankly, even though they were the cheaper ticket price by the time I had paid extra for the seat and not had my meal choices available i would have been better off flying another carrier."
1466,False,2017-11-01,United Kingdom,Boeing 747-400,Business,2.0,1,no,"London to New York JFK in club world. After reading very mixed reviews here, I also saw that BA were upgrading standards on flights to NYC in particular and was looking forward to my flight. Should not have been so optimistic, as this is still a business class that belongs in the 1980's. Aircraft was tatty to be polite about it, worn carpets, seat with various malfunctioning or broken items, washrooms grimy from the word go. Staff tried hard to offer a modicum of good service, but the so called food improvements were really not much better than other premium economy cabins I have flown when I have to pay for the ticket. BA talk a lot about their premium standards, but even when you pay to-dollar for business class the standards are well below even their US counterparts. Complete rip-off sums it up."
1474,False,2017-10-01,United Kingdom,,Business,1.0,1,no,"Singapore to London. My feedback seems to mirror many other users here - BA standards are just getting worse and worse, and I am talking about business class which I thought they would maintain? The cabin interior was worn and quite grubby, the seats terrible and now must be one of the poorest for long haul business class. The meal and presentation is really a joke, and on my previous long haul biz trip I got better food in Lufthansa premium economy. Cabin staff were quite friendly although they do hide in the galley a lot. Chatted to one of them who said so many customers are complaining and even deserting BA because of the fall in standards - I'm not surprised and I for one would not use them again for long haul. Time for senior management changes, as the present CEO clearly has no clue how to run what was once a premium airline. Now, they do little more than a low-cost and easyjet for one is far superior and nicer for short hops in Europe."
1514,False,2017-10-01,Qatar,A380,Business,1.0,3,no,"Los Angeles to Doha via London. Great staff, poor food and stupid cabin layout. I’m spoilt flying gulf airlines, but this time I tried a rear facing “internal” 4 of 345 configuration. Firstly, staring in the face of my two new best friends (seats facing forward) was at best weird, and at worst like a business class speed dating experience. Crew could barely serve me, ventilation was restricted and access 100% blocked by the foot rests of forward facing passengers. Once the security screens went up I felt like I was in some sort of flying crypt and was tempted to assume brace position to give the impression I had died and was on a viewing. The food was embarrassing bad - bigger serves of economy style food in bigger economy style bowls. BA, you have great crew trying to do their best with silly cabin engineering and poor catering support."
1518,False,2017-09-01,Canada,Boeing 777-200 / 787-9 / A319/ 320,Business,1.0,4,yes,"Toronto to London in Premium Economy and onto Oslo in Economy. Easy check in and in the lounge within 15 mins. The usual selection of dry sandwiches, and a chicken noodle soup (minus the chicken and noodle). The lounge was clean with plenty of staff clearing away. Efficient boarding with sparking wine/soft drinks offered. Early departure, fast drink service and dinner before lights out. There was no breakfast (previously scrapped) with the cereal bar now also gone. Early arrival, a short wait for a shower in the North Lounge, followed by an ok breakfast. An early departure and an average flight on a A319. Long queues for the bathroom (only one now for all of economy as the other was removed to provide 2 more seats) with slow buy on board service though at least they made it to the last row mainly down to little take up of food or drink. Early arrival though a long wait for bags. Oslo to London on a A320 was verging on a farce, A full flight, selfish use of the overheads delayed departure whilst crew looked for space. The buy onboard came out quickly with one and then the second handheld machine dying at the first row served. Service ground to a halt whilst the crew tried to get either machine back into life, broke out the paper visa slips, took the cart back in, re-appeared 20 mins later so service started an hour into the flight. Little take up as people had given up including me as there was little time left to enjoy the purchases. The crew tried really hard, put a brave face on and kept going. The organisation and concept of the BA buy on board is a disgrace. Though a third party provides the food and card machines, the choice, stock holding and the reliability of payment machines means the service is a farce.  I don't understand why BA continue to struggle with this service as Easyjet, Ryanair and low cost carriers seem to have have to cracked it and got their act together. Early arrival and fast bags completed the flight. Final flight home to Toronto was good, the club lounge at the B gates remains quiet, clean and an oasis to relax and eat/drink before flying. The 787 was towed to the gate 45 mins before departure and was never going to leave on time. At the gate, the experience was enhanced with an upgrade to business class. Service was really slow on boarding I had to ask for champagne, and the underwhelming bag of toiletries and shades only offered after take off. We pushed back over 30 late. No signs of life from crew for another 30 mins, though a positive enhancement was tray service for drinks which felt more classy than a cart. The main of steak was excellent and looked to be on new crockery and plated after cooking (no dried gravy or potato around the edges). Afternoon tea remains underwhelming with no scones and only three sandwiches still wrapped in plastic. Overall, the decline in service seems to have stopped with some minor improvements. The crew on all four flights were pleasant but lacking confidence and experience. The desire to do things by the book results in slow and wooden service at times. Other than the farce of buy on board, I was pleased there appeared to be no further decline in service."
1522,False,2017-09-01,United Kingdom,,Business,1.0,2,no,"London Heathrow to New York. After reading reviews I was hoping some were inaccurate, but after this flight in Club World I realise that BA has fallen even lower than many have said. Check in at T5 was interminably slow with one of the most arrogant staff I have encountered for years. The lounge was crowded and dirty, and the food selection is terrible for a premium facility. Onboard, seats are old and tatty, cramped and uncomfortable and offer no privacy whatsoever. The food was passed across my neighbours seat to reach me, and what a lousy offering this was - below many airline economy meal standards. IFE screen was not working properly, fuzzy and very poor. Cabin crew were polite and trying to be friendly, but they certainly hide in the galley as soon as they can and judging from the standard of the toilets towards the end of the flight, they do not see it as part of their job to maintain these. Luckily, I am leaving the USA to Asia from Los Angeles next week on Eva Air and expecting a big step up in standards."
1540,False,2017-09-01,United States,Boeing 777,Business,1.0,1,no,Dubai to London. I am a regular BA flyer and so generally my expectation is low nowadays as they almost become a Tier 2 airline. The journey started in the Concorde lounge Dubai and it is a very small area with little food that in the two hours I was there was not refreshed. Onboard the 777 you begin to sense the jobs worth attitude of the staff who seem to permanently work to rule. Amazingly when the menu came it contained only an Arabic snack with no options. They say this is to allow maximum sleep. No other airline has done this. Breakfast was undercooked slop and it was inedible. It is incredible that you can spend 10000 usd on a ticket and you can't even get a meal. The airline is clearly failing fast and I wish now I had flown the luxury of Emirates at half the price. Very disappointing and they don't care.
1547,False,2017-09-01,United Kingdom,Boeing 777,Solo Leisure,1.0,1,no,"On a flight from Bangkok to London and you'll have some locals and holiday makers that wish to have a taste of Thailand in their meal choices. First meal service has Thai Green Curry (veg) and the second Thai Red Curry (chicken). Really? No one could come up with two Thai dishes that were a little bit more different? So the meal service begins and I was going to have the chicken satay starter and main course salad with grilled prawns. Unfortunately the chicken satay dish has been replaced by a prawn dish which turns out to be every ingredient from the chicken satay apart from the chicken and obviously with prawns.  I said, ""I don't want the prawns for starter as I'm having the prawn main meal."" I should not have worried as the prawn salad was off.  Ok so prawns for starter and I'll have garlic herb crusted chicken breast with onion sauce, mashed potatoes, mushroom, spinach and tomato. Well I'm not sure how they did it but the potatoes were disgusting to the point I wasn't eating them. The chicken breast was dry and I got no hint of herb or garlic or chicken to be honest and the onion sauce could not save it even if there had been enough of it. Mushrooms were very meh, tomato and spinach were fine but all in all inedible. The bread roll didn't win any prizes either. I just gave up and refused to eat it. Now when this was served I'd been drinking rose champagne and wanted a glass of chardonnay but the FA was off too quickly. No problem, press the call bell. Which is reset before anyone comes. Press it again and think I'd better get on with eating my food. Eventually some one arrives and notices I'm not eating my main course and after I tell them it is disgusting I ask why no one has answered my call button. Obviously I'm just asked what did I want and I say it was the wine but it is a bit too late now and I'll have port instead as cheese and crackers will be my next choice. This does not appear for fifteen minutes. During that time I am offered the vegetable thai green curry to replace my inedible main but that isn't going work for me. So a couple of hours later I'm a bit peckish and go to raid the club kitchen where I find some quite pleasant snacks. Back at my seat I think I need a G&T with this but ten minutes later no one has arrived or even been in our cabin. There is no one in the galley galley between the two club world cabins and indeed no member of staff in the larger CW cabin. I do find one in the second galley. I ask and my call button is tested and appears to be working but three times I've tried to use it and been ignored. Bad service. Now on to the second meal service. Strangely there appears to be no choice unlike stated in the menu. I ask the FA about this but am just told everyone is having the same, no explanation. The starter turns out to be smoked salmon with a wasabi dressing. The dressing is tasteless but salmon is fine. Now this is a pity because my choice of main was going to be a meze that had smoked salmon as a major part and now I have to choose again. Ok main meal, I'm give a choice of smoked salmon again or red Thai curry so no choice really and I decide to give up and go to a restaurant when I disembark. Just not recommended at all."
1548,False,2017-08-01,United Kingdom,,Business,1.0,1,no,"I had a return flight to Istanbul in Club Europe. Staff were usual BA quality however flight experience was awful. Club Europe section with no leg space. There was no inflight entertainment. Lounge in Istanbul probably one of the worst I have been to. Drinks, some cakes and pastry - nothing else. I am sorry to see that British Airways become a budget airline."
1552,False,2017-08-01,United Kingdom,Boeing 747-400,Couple Leisure,2.0,2,no,"Having flown First Class from London to Cape Town and Club back from Johannesburg I have really noticed a significant downgrade in BA service and standards compared to premium flights I have taken in previous years. The seats in First had crumbs on them on arrival, in Club there was sticky stuff on the arm rest which hadn't been cleaned. On the return Club flight in particular, the purser told us on the tannoy that staffing levels were low so service would be slower; on 3 occasions I had to ask for a G&T, eventually I only received it by going to the galley. It was made clear by the staff that they resented my interrupting their jokes and conversation. Food in club was average. First lounge in T3 not great: sole Elemis spa person decided to take an hour off from 1840-1940 (leaving a scribbled paper sign saying ""back in an hour"") which wasn't helpful given several long haul flights were leaving at 9pm. When I tried to book an appointment on her return, she told me she was busy and full (whilst checking Facebook on her iPhone). In terms of hard product, the Club seat just doesn't compare with rivals any more: it's way too narrow and storage space is dire. These flights were 'miles burn', I won't be accruing more avios with BA."
1569,False,2017-08-01,United Kingdom,A320,Couple Leisure,1.0,2,no,"Athens to Newcastle via London. Another miserable experience. Woken at 7am by text to say 13.30 flight to Heathrow cancelled for operational reasons - phone numbers listed to rearrange. One not open till 9am GMT, the Greek one no longer in use. Website also useless: 'We are experiencing technical difficulties - try again later.' 2 stressful hours later managed to get rebooked onto much later flights - but downgraded on both sectors. [Still not happy that I was involuntarily downgraded on my last BA flight at Easter!] Athens used to have a great BA lounge. Now it's provided by someone else for varied airlines and was pretty grim. Partly because it was filled with numerous disgruntled passengers also downgraded from the cancelled flight. Flights adequate but no different really to service of any budget airline. Crew apologetic about situation but clearly feel they have no voice in BA's direction. Athens ground staff were superb in dealing with unhappy people - albeit unable to say much other than to apologise and say make sure you complain / claim. BA are lucky to have such brilliant front of house staff and cabin crew - without them I'd have already deserted. Still waiting for any response from airline re EU compensation / downgrade almost 2 weeks after submitting forms / emails. This could surely be automatic [managed by most US airlines] and contrasts with a recent Air France experience of far more trivial nature where within 24 hours I'd received a voucher and a personal apology."
1572,False,2017-08-01,United Kingdom,Embraer 170,Business,1.0,2,no,"London City to Dusseldorf return, flights operated on behalf of BA by Eastern Airways. The cabin was clean on both aircraft and the check in and wait at the both the airports were reasonable however then the good part of the trip ceases. Cabin Crew must of been members of the Basil Fawlty school of Catering. The outward flight there were 3 passengers in the business class cabin and the onboard menu was handed out to the three of us. The young stewardess took our orders, then we heard a crash as the young stewardess promptly dropped one of the meal and told us that the aircraft only had two meals and asked for a volunteer to give up their meal. The meal was of a reasonable quality and well presented. On arrival at Dusseldorf the aircraft was parked at a remote stand and we were taken by bus to the wrong terminal. The arrivals boards in the airport say terminal B and we were dropped off at Terminal C. Our delivered to terminal C and we had to walk to Terminal B if you were been met. The return flight was another example of the sub standard ground handling agents that BA is becoming famous for at overseas airports. Check in did not open until 90 minutes before the fight to LCY and 2 hours before the flight to LHR. I can see that this was a money saving wiz by the ground handling agents at Dusseldorf. As the flight to LCY may only have max 100 pax and they would of been able to see the flight loading the day before. The check in staff were reasonable and two were very smart only to be let down by the young female on Club Europe who was tattooed and had a slightly outlandish hairstyle. Which looked totally out of place in uniform. The flight again seemed to have catering problems in business class with 6 pax and only 3 meals, which meant that 3 passengers were offered a so called Ham & Chasse croissant which looked if it had seen better days. Again the cabin crew fell below the standard expect on budget airlines such has Wizz and Ryanair, in fact they have better staff than Eastern Airways so these crews maybe the one who have failed these airlines selection process.  I was disgusted with the lack of professionism and customer service skills these crews displayed. On arrival at LCY it become apparent that the ground handling agents at Dusseldorf had failed to load all the bags for the flight and left somewhere in the region of 8 passengers case behind. The handling agents at LCY could not be bothered to take a proactive approach to ensure the bags followed on the next flight. I did phone on Monday evening and a gave more details of the contents of the case to them which they did update on the system. This morning I spoke to a member of senior management at Dussledorf Airport. About 4 hours after this call the bags had been found in the baggage handling area at the airport. They will be put on the late flight tonight which means I will get it nearly 4 days after it became missed. It is a pity that we cant review the ground handling agents at airports as no they would have to have to let negative results be posted."
1592,False,2017-07-01,United Kingdom,Boeing 747,Business,1.0,1,no,"The London Heathrow to Accra flight is regularly late leaving LHR by 1 -2 hours (as a regular on this route for 18 years I have spent many hours delayed at LHR). Started well with BA at last choosing a gate where they can process excess hand luggage prior to the final gate check (gate 27 - rather than the far gates at T3) - hand luggage is a problem on this sector. All looked good until the gate crew lost control of the gate on seeing the door to the jetway open passengers surged forward and then blocked the entrance while the calls made for First, Gold, Business etc to come forward. It is not pleasant to have to to push forward to get to the gate as a BA premium passenger. One First class passenger told the gate assistant to ""take control back of the gate"". She blamed the passengers when actually it was just poor gate management by the staff. It was a miracle then that the flight departed on time and arrived into Accra a little early. A first for me in 18 years on the route! Once on board the crew on the top deck could not have been more friendly. A shame then for them that they have such a poor product to work with - poor food, poor seats in a layout that defies any sense, lousy cheap amenity kit and finally an inflight entertainment package that does not change month after month. Catch up with the others BA."
1608,False,2017-07-01,United Kingdom,Boeing 747 400,Business,1.0,1,no,"London Heathrow to Accra. Flight left nearly two hours late - bit of an explanation but was really because the ground staff boarded the plane with only minimal time to departure. This is always a busy flight with passengers taking on loads of cabin bags. Ground staff only started to collect excess baggage from people with 20 mins to boarding and so there was no room on board for all luggage. Chaos in economy class. On this flight it does not work when the flight is boarded with anything less than 1 hr to departure. When will BA realise this flights needs at least 60 mins to board - it is the most delayed flight out of Heathrow because of this poor management. Fact. The ground staff did nothing to control the crowds - simple and polite requests would have helped. The grand staff were downright rude and grumpy with their passengers - on one of the money making flights for the airlines they need to up their game and just be polite (even if they do not enjoy their jobs or dealing with passengers). Once on board the crew were friendly and professional. Very friendly but this does make up for old aircraft in need of a good clean and refresh along with poor in flight entertainment, poor food and very poor quality seats. The cold/salad options are far better than the hot offering in BA's club class. Still no wi-fi on BA? Even discount carriers like Norwegian have this now, let along the flag carriers like Emirates and Qatar Airways."
1613,False,2017-07-01,United Kingdom,Boeing 747,Business,1.0,1,no,"New York JFK - London Heathrow. The British Airways lounge at JFK is truly terrible. It seems to have been refreshed of late but this means rows of scruffy seats and toilets that are too few for the crowds. Not enough chairs for the evening flights that tend to depart within a few hours of each other. I wasn’t allowed into the First Class lounge despite being a BA Gold List member. So much for loyalty. Was instructed at check in that this was a “sleeper service” and I should eat in the lounge. Not an advisory but an instruction. The Club World food on offer in the lounge for the “dining experience” was overcooked and of very poor quality. Usual Cub World service on BA which involves clambering over people to get out to the aisle, poor food (they did offer food), poor in-flight entertainment, putting the inflight divider down but never putting it back up (BA train your staff if they put the divider down to have the good manners to put it up again) to serve food and drinks. The crew obviously know they are providing an inferior product and act accordingly. The product and offer from BA is so mediocre (I even saw Club Class passengers taking their own food on for example) the other carriers must be laughing as they take over BA in terms of service and quality of aircraft. Shameful."
1656,False,2017-06-01,United States,,Solo Leisure,1.0,1,no,"Flew New York JFK to Copenhagen via Heathrow. Have flown Premium Economy (PE) on Cathay, Singapore, Lufthansa and Air France. By far, British Airways is the worst! World Traveler Plus just means Plus $$$$$, everything else is downhill. Seats were cramped, recline only a few millimeters, food awful, sorry but that is the best adjective to describe what was served. Amenities practically non-existent and wrapped in cellophane, tube of toothpaste (if only the cap would open) could only fulfill brushing requirements for half a mouthful of teeth, no covers for the headphones. Totally inadequate for the money paid and shaming the word Premium Economy. Before I forget, the Boarding Service was confusing, calling colors Gold, Silver, Sapphire, etc. People just rushing the line and the staff losing their voice, screaming for order. Why not just call the way you sell - First, Biz, Premium, Economy. Trying too hard to be fancy."
1658,False,2017-06-01,United Kingdom,A380-800,Solo Leisure,2.0,1,no,"British Airways charges a big premium for Premium Economy. I sat on the top floor of the A380 after being upgraded from World Traveller at the gate, and enjoyed an aisle seat flying from Singapore to London Heathrow. There were two dinner options, chicken tikka or beef fillet, but as I dozed off I missed out. So no food until 1 hour before landing (11 hours later) unless I wanted to pay for chocolates with a credit card. I kindly asked for some water, got some orange juice too - didn't want to push it even though I saw a bottle of champagne open in the galley - not worth the risk of a bad reaction. I cannot recommend this cabin based on the high prices they charge. The staff mean well - however a gulf of enthusiasm exists between them an Singapore Airlines, Qatar, Cathay etc. It's not cultural, it's just indifference. Will continue to book BA for cheap economy (product/service offers almost no difference) and enjoy upgrades where given."
