,verified,month_year_fly,country,aircraft,type,seat_comfort,aircraft_1,aircraft_2,money_value,recommended,review
1177,True,08-2018,United Kingdom,,Business,1.0,,,2,False,"Madrid to Heathrow. I fly with BA on a regular basis and am a gold card holder, their service attitude and facilities drop lower and lower. The planes are filthy, not cleaned properly between flights, the staff are hit and miss - but more miss than anything and very poorly turned out. The food in business is average and the seating in the newer planes is terribly uncomfortable - and as for customer service, there is no point in ringing them they are useless, rude, hostile and will never provide any assistance whatsoever."
1209,True,07-2018,South Korea,,Couple Leisure,1.0,,,1,False,"Gatwick to Barcelona . Check in efficient and friendly and helpful staff. Staff very welcoming in lounge and on board flight. However, the in flight product has deteriorated - salad ran out so no food option for business class passengers - had to have sandwich. Seats dirty and no middle seat tray although business class. No priority boarding for business passengers. Really disorganized at boarding - calling people by groups and lines becoming mixed up. On arrival no bags and trying to get update but no update. Trying to get update on baggage after 12 hours but no update."
1226,True,06-2018,China,Boeing 777,Business,1.0,B777,,3,False,"Luggage broken into – no explanation. First the good point. Cabin attendants were very diligent and friendly in business class on BA169 London to Shanghai on 22 June. Not so good. The bizarre seating pattern that allows 8 business class seats across the width of the plane feels cramped and crowded compared to a herringbone arrangement. The trust breaker. Upon arrival in Shanghai I was not the only one from BA169 reporting missing luggage. Mine arrived 3 days later and the zip locking mechanism had been forced open and damaged beyond repair or further use. Nothing was missing, so was it subject to search as unaccompanied luggage? People deserve an answer when luggage arrives in that state. BA have not provided any explanation despite queries to Customer Relations; this is not acceptable. Corporate behaviour like this not only lets down the customer but leaves an impression that betrays and outweighs the efforts made by their own cabin staff."
1235,True,06-2018,India,,Solo Leisure,2.0,,,1,False,"Mumbai to London Heathrow. Disappointing experience. I wouldn't book business class again, felt like bad value for money. I've flown economy and premium economy before, found economy basic and the seat uncomfortable but enjoyed premium economy for the quieter cabin and more space. I expected a big step up in business class but really apart from choice of food, better seat and a larger entertainment screen I really didn't see an upgrade in comparison to the huge extra cost. The staff weren't that attentive so I felt like I got one much better meal with alcohol and then was pretty much left alone until an hour before the end of the flight. I had one person ask if I needed anything who then brought me the tea I requested. The staff were helpful when I saw them but overall what a waste of money. I paid an extra £500+ for better food on a tray with cutlery. Really not worth it!"
1237,True,06-2018,United Kingdom,Boeing 787(9),Couple Leisure,2.0,B787,,1,False,"When you travel British Airways its like you are lucky to be able to be with British Airways staff. Right from the start the check in girl on business told us the flight was closed which was a load of rubbish 1 hour and 10 minutes before the flight. She spent ten minutes on the phone to someone to see if it was too late. Because I need special assistance they didn't have anyone to push my wheelchair so my wife had to do it. My wife now very stressed and I arrive at the finger and when we could see that everyone was still there I asked the man on the desk about being closed and he said nonsense. My wife says thanks for the unnecessary stress. The guys on the desk were great and offered to push my chair which was actually quite a long way. The cabin layout has 7 seats across whereas all the other 787's I have been on have 6. That means they are squeezing in another seat and it is very, very narrow the cabin crew knocking my arm every time they passed by. Of course the 787 is a great aircraft. So for me the seat was below my expectation. I was also amazed that I had to pay £190 to reserve seats, I don't pay anything with other airlines. The food was just OK nothing exciting and the choice of films was not that great but then that is all personal choice. In my opinion fly with a different airline if you can there are seriously better airlines who don't have snobs working for them."
1239,True,06-2018,Canada,A380,Business,2.0,A380,,4,False,"BA First Class is not even that any more. Starting with the lounge in T3; this may be an offshoot of the fine Concorde Room in T5, but it need not feel like a rural train station. Poor food, average drinks and an indifferent staff do not compare with LH facilities in FRA or MUC. There is no ground assistance, and boarding was haphazard. Fine Cornish champagne was offered and happily quaffed. The seat was OK, but not in the same class as the new AC J class pods, and not close to the Emirate's suites. Small things like the menu presentation, boarding sufficient food (there are a lot of seats in F), seat comfort (OK, but nothing special) and the toilets (small and curiously offering single-ply paper). The crew were very friendly; the service was decent in delivery, but poor overall. BA, your relentless drive to the bottom is catching up with you, and your First Class product is not worth the name anymore. One can only assume that BA are trying to phase it out as they drive any paying passengers to other airlines who place a serious effort to deliver a superb premium product. And no wi-fi"
1245,True,06-2018,United Kingdom,Boeing 787,Couple Leisure,1.0,B787,,2,False,"Calgary to London. Cabin full. Overhead locker full of blankets. Seat excruciatingly uncomfortable and headphone that worked intermittently. Take off about 1945 local time. Evening meal appeared at about 2030 local time. Menu listed seasonal salad (leaf, one small piece of lettuce and cucumber), braised short rib of beef or mushroom ravioli pasta, with butter pecan cake. Only 3 beef meals available. Choice was either pasta or to go hungry. I chose the latter and dined on a small bottle of water and half a cup of tomato juice. Breakfast (a light refreshment including juice, tea and coffee) consisted of a cream cheese roll, and oat biscuit, and half a cup of warm tea some 30 minutes later. We paid extra for World Traveller Plus but I consider that we were conned. Customer services have been useless and on the second time of writing I received the following response, ""Thanks for coming back to us. I completely understand why you’re disappointed we couldn’t offer you our full catering service, especially as on such a long haul flight. I hope our staff explained our catering supplier had an unexpected problem with the systems they use to deliver their catering. This meant they couldn’t provide a full meal service and I absolutely agree this isn’t what you would expect when you travel with us. I’m sorry we’ve let you down."" That is it. Thank you BA. This is the last time we will ever book long haul with you."
1303,True,03-2018,Ireland,A380,Business,2.0,A380,,2,False,"First 3 legs were trouble free. Lounges were good, some staff were good, some were very poor, especially the agent I encountered at security in LHR. My flight from Singapore was delayed in the air and I was not allowed onto my connecting flight. British Airways re-booked me on the next flight, but downgraded me from Business to Economy and into a centre seat. Fine, I wanted to get home and they said they would compensate me. After 3 weeks, they finally mailed back to say they would refund the difference to my company who paid the ticket, but I was not entitled to any even token gesture of Frequent Flyer miles for the inconvenience of being downgraded and put in an aisle seat, after a long haul flight. I missed out on a meal and the option to be comfortable and to try and catch up on further sleep. It was all handled very poorly, late and without regard to a frequent flyer who has the option to fly via Air France or one of the middle east carriers who value my business. Its left me with a very sour taste in my mouth and I will certainly look at flying with other carriers now."
1308,True,04-2018,Spain,A320,Business,2.0,A320,,1,False,"Madrid to London. The main plus about this flight were the cabin crew who were professional and friendly, and hard working. The I saw no food in the Iberia lounge at Madrid, no working washrooms, and discourteous Iberia staff. The food on board was ludicrous, in business I got a panini - the staff looked embarrassed to serve it. Waste of money."
1316,True,04-2018,United Kingdom,A380,Family Leisure,1.0,A380,,1,False,"Premium economy worse than most airlines economy. Unprofessional staff, uncomfortable seats, foot rest but no leg rest, very little seat recline and difficult to operate. Rubbish food, very poor landing and everything went flying. Additionally, we were a family of 4 travelling together but split up and 3 of us were seated between two of the four toilets that serve 160 people. These “premium economy” seats are directly outside the toilet doors which meant an entire night kept awake with the noise and light from the loos. Other airlines have toilet lights that dim until you lock the door to avoid flooding the cabin with light - not BA. Even the staff kept leaving the toilet doors open after they went in to blow their nose or check their teeth or makeup. This was the second leg on a flight from Sydney (via LAX) so we were beyond tired. When an attendant picked up my son’s water at the end of the very long and sleepless flight, he didn’t hear my son say “thanks” (which he had) so the attendant said pointedly “You’re welcome - rude!” and laughed about it with the passenger next to him. In my experience, better (and cheaper) premium economy can be found with Norwegian, Air New Zealand and American Airlines - all of whom also allow seat selection without additional charge. I’ve never had cause for complaint with any of those airlines but with British Airways, I’ve never had a good experience."
1318,True,04-2018,United Kingdom,Boeing 777-300,Family Leisure,2.0,B777,,2,False,"I have been flying with BA for the last 32 years between Sao Paulo and London on and off but mostly BA. I have travelled in all classes except First. BA used to be a very good airline and stand out from most but now they look like a low cost airline with high cost fares. Not value for money. The food and drinks are parsimonious to the extend of me having to ask for a drink, even in Business (I flew out Club and returned Economy plus). Staff on board are still the usual arrogant and discretely rude, no changes there. Boarding has become indifferent and they group classes in 5 different queues of travel so we have become just a number. Service is not exclusive anymore. Seats on the 777-300 wear hard and uncomfortable including the beds on CLub. Their lounge performance is very poor also with food option variety (in case of food allergies/intolerances) really bad and of poor quality. It is a shame Singapore Airlines doesn't fly to Brazil from the UK as they definitely offer top quality service especially on their business class. BA has become mean, greedy and indifferent to their customers and I feel it is time for the CEO to go as he is ruining the image of the airline. The changes on baggage weight has become silly also. I was allowed two luggages of 23kg. Any sensible person would allow me to pass with one luggage at 27kg and one of 10kg as I haven't go above the allowance I am entitled. Instead I had to reshuffle my contents from the big luggage to the small luggage to make it 23 and 14. In my opinion unnecessary as I had 37 kgs in total and not 47kg! So I will in future re-think my trips to Brazil. Even if I have to make my journey longer as I am after good service, value for money and a differentiated experience. Thumbs down to BA."
1325,True,03-2018,United Kingdom,Boeing 777-200,Couple Leisure,2.0,B777,,3,False,"Fort Lauderdale to Gatwick. An efficient courtesy bus took us from car rentals (terminal 1) to the international terminal (terminal 4). Check-in was friendly. Security staff insisted on using a whole-body scanner for everyone and were overly officious. Surprisingly, there was no business class lounge, although there was plenty of sitting space before the gates in the redeveloped terminal. Boarding was according to group rather than priority which caused some annoyance. Club World was in two smaller cabins, with the usual, outdated eight seats abreast. Take-off was on time. The wrong menus had been loaded, so the actual menu was announced over the tannoy. Drinks and food service served efficiently. Food adequate and not overcooked, but below the standard of Turkish Airlines. Seats hard and uncomfortable for sleeping, with the usual issue of having to climb over legs if in a window seat. Abbreviated breakfast (no hot option) served an hour before landing. Arrived 30 mins ahead of schedule. Overall, an adequate flight, but the inflight experience was well below BA's competitors."
1332,True,03-2018,United Kingdom,A320,Family Leisure,2.0,A320,,1,False,"Gatwick to Madeira. The flight left on time and arrived early, slept as early morning flight. The plane was not very clean, grubby tray between seats and ingrained dirt in the spokes of the seats. The staff were pleasant. Breakfast was offered and my children felt it was adequate. The return was poorly organised, no use of fast track security for business class passengers. Long queue for boarding and a grubby plane. Really no point in paying for business class. The staff try so very hard to please the passengers but nearly 4 hours and no entertainment, dog-eared magazines.  Quickly disembarked and swiftly through immigration."
1341,True,03-2018,United Kingdom,Boeing 777-200,Business,1.0,B777,,1,False,"Worst business class I flew, you are facing a stranger for the entire flight. Also every time the crew have to service a passenger next to me, i have to stop eating and crew has to serve in front of my face. Dreadful food, a very dated 777 plane and  uninterested staff. The bar on board was supposed to have full range of mid flight snack and sandwiches but apparently they ran out and the reason from cabin crew said people are taking too much food. They also ran out of the appetiser. I was told sorry, we ran out of satay, and other passengers have already ordered them. Therefore, please select another option."
1354,True,02-2018,United States,Boeing 777,Business,1.0,B777,,1,False,"Chicago to Chennai via London. The pilot and captain were top class - the flight was delayed by more than 4 hours - but they made it up to 2 hours and was smooth. Chicago check in staff unfriendly, it took them 28 minutes to serve 2 of us. The only thing they tried was to upsell me into First Class. Meals - excellent choices veg or non veg is all the crew asked business.  My co passenger asked for a menu - answer - you are booked for veg meal - so that will be served. He asked for drinks menu - answer - ""What do you want?""  The seat was claustrophobic,  closed and uncomfortable. The crew was unsmiling."
1358,True,07-2017,United Kingdom,Boeing 747,Couple Leisure,1.0,B747,,1,False,"London to Phoenix. Decided to pay to travel First class for a big birthday. Upon arrival at terminal 3 for check in I was disappointed to see no separate check in. just a young girl with a couldn't care less attitude behind a temporary room divider. Off we went to the lounge and this was atrocious, uninterested staff on the door, huge dirty plastic floral arrangement on entry that should have been binned a long time ago. The lounge looked like council offices hugely disappointing and the food offerings were not good. On board was no better a scrum at the boarding gate so not called first - was followed by a filthy seat, a screen that wouldn't stay up and a meal service that even the very nice onboard staff apologised for as she put it in front of me. Our return in Club from New Orleans was not much better, no separate check in no lounge but a $30 voucher to use in the one bar that is still open at this time of day again a filthy seat and a broken arm rest. I love BA onboard crew in general but I will never fly BA again."
1363,True,02-2018,United Kingdom,Boeing 747,Couple Leisure,2.0,B747,,2,False,"The best thing about this flight from London Heathrow to Miami was it’s punctuality. However having got up at 5am for the flight time at 10.45, if we hadn’t eaten breakfast in the airport we would have been starving by the lunch service, which was served what seemed like a long time after take off. 6 hours after the mediocre lunch were were served an even more mediocre sandwich. Only one cabin staff for premium economy service meant drinks and meals were served very slowly by the hard worked lady. Aircraft an elderly 747 and showing its age. Screen tiny, scratched and hardly worth looking at. We have flown similar routes on Thomas Cook and TUI planes and the service and comfort of their new aircraft was miles ahead of this BA flight, which I think is shameful for the national carrier."
1365,True,02-2018,United Kingdom,A319/320,Couple Leisure,2.0,A319,,2,False,"Flew short haul business class with British Airways, Manchester - Gothenburg via London Heathrow. It's a diffcult one to review, some aspects of the travel were excellent and others unacceptable. We used points to travel, so what we paid was fine, though would never pay a full BA business short haul fee. We have family in Sweden so took 70kgs (gifts etc) of luggage with us for our four night trip. Check-in was fine both ends, all fights on-time (just about) and no luggage issues, a positive. The staff were friendly though clearly demoralised and actively encouraged to email/publish our concerns. We had a mixture of fortunes with the catering MAN-LHR, nice cold meat platter (30 min flight). LHR-GOT three dried up finger sandwiches, no alternative offered, were told could not take from the M&S menu in economy either. One reason for this, because we ordered an asian veg meal once years ago and apparently this stays on the system. I was told to change my profile details on BA site - once home I looked it clearly says meal options - none, i.e. no special menu (confusing to say the least). Thus the catering became an issue on the remaining three flights. We were told in economy you had to purchase everything, even water, however if in an emergency tap water could be provided - so much for a full-service airline! Any newspapers also gone from business class. On LHR-GOT route there was no divide put up between business and economy, so a 'free for all' to the front toilet. Leg room not great, even fully paying business class passengers have to purchase a seat (more than 24h) in advance (£21 for the frist row and £18 for the rest), which is ridiculous if you had paid £400 return. Lounges OK - preferred MAN to LHR (which is busy and looking worn already). The down-scaling of BA and the mix of pretending to be a full-service airline, but having budget airline ideals and practices is both confusing and not on. The FAs were a saving grace, though rest assured, they are not happy. We'll use up our existing points, though definiately not our airline of choice."
1378,True,01-2018,United Kingdom,,Couple Leisure,2.0,,,1,False,"I had booked business class with my friend as this particular trip was planned to mark a significant milestone in my life, my 50th birthday. On this occasion, I had invested in an upgrade and as such I expected nothing less. For 15 hours on an overnight flight I had to sit in economy whilst my colleague was in business class. I was downgraded as BA overbook their flight by 10%. Their offer of compensation was £200! I am also waiting almost one month later for a refund in the difference in price between economy and business class. This experience has caused undue stress and at this point I am reluctant to use their services in the future. Their dismissive response completely contradicts their consumer promise and values: “Meeting the rising expectations of our customers remains central to our strategy of transforming British Airways into the world's leading global premium airline. Our investment in our staff, our fleet and our facilities are all about making sure we provide the very best in customer service.” The experience with BA has resulted in a negative end to what was a bucket list holiday! I feel I have a duty of care to other consumers to share my experience!"
1379,True,02-2018,United Kingdom,Boeing 777,Solo Leisure,2.0,B777,,1,False,"Flew London to Bengaluru. British Airways have reached a new low. Flight boarded on time, but twenty minutes before departure the pilot announced that take off would be delayed as luggage was still to be loaded, and engineers were working to replace a pin. Two hours twenty minutes later flight was finally airborne. Cabin staff throughout the the flight were unpleasant and unhelpful. The BA premium is product nowhere near as good as other operators economy offering. The promised fine China dining experience only relates to main course. All other food and drink was served in plastic. The entire meal came on a cluttered tray, dumped on to tray tables with no finesse whatsoever. The chick pea starter was icy cold, the main course lamb over cooked, tasteless and inedible. Dessert and cheese portions were minuscule. Entertainment screen was marbled and very small. Reformatting films to fit to near postage stamp proportions made viewing impossible. Breakfast service made no pretence to premium service. Served on plastic and to be eaten with plastic cutlery. A very unpleasant experience. I have no wish to repeat, but sadly I have to return to Heathrow in the same way."
1394,True,12-2017,South Africa,,Solo Leisure,1.0,,,1,False,"Johannesburg to London. Awful, pathetic service and staff attitude so nonchalant. My seat area was absolutely filthy. When I asked the stewardess to assist, she looked at me like I was such a nuisance, made clicking sounds and picked up some fruit peels nuts and piece of paper.  Between 3-4am in the morning, I went in search of snacks. Found the cabin staff in the kitchen area. When I asked, please may I have some snacks, I was told to get it myself from the side counter and the staff continued with their conversation. Not one them got up to assist, not one of them had replaced any of the snacks (the counter was empty, only about 3 crisps available and 2 chocs), they kept serving the person next to me, over me instead of going around me, didn't matter that they blocked my viewing - that is fine and understandable, but no excuse me, please can we, nothing. Rudeness at it's best. If you asked anything, the stewardess made it look like an absolute chore, and made one feel like you were being a burden."
1405,True,01-2018,United States,Boeing 777,Business,2.0,B777,,1,False,"London to Dubai.  This was a terrible flight with grubby cabins, same old menu but worse still people from economy taking the seats in business without upgrade or paying. The staff were indifferent on complaints and eventually led to removing them after abusive language. If BA actually knew their premium passengers they would have avoided this."
1435,True,11-2017,United Kingdom,A319,Solo Leisure,2.0,A319,,2,False,"London to Berlin Tegel return. It's becoming ever more difficult to notice any difference between British Airways and the budget airlines. The only saving grace is that I've never experienced any issues flying out of or into T5. Noticeable cost cutting measures include the removal of complimentary onboard food and drink but also, BA have removed a toilet in economy within their A319 fleet to make space for seats in row 24 and 25 meaning there is only one economy toilet, disgraceful. My flight to Berlin was busy and the line for the sole toilet existed throughout the duration of the flight meaning the flight attendants couldn't offer an efficient trolley service and involved a continual display of other passengers weaving in and out of aisle seats. I feel for the staff who often work tirelessly."
1436,True,11-2017,United Kingdom,Boeing 777-200,Business,2.0,B777,,2,False,Flew British Airways from Saint Lucia to London Gatwick. Agree with other recent reviews: BA quality is severely lacking compared to other Oneworld carrier’s business class. We were not addressed by name. Staff seemed rushed and not proactive at all: had to ask for anything we required. Not all breakfast items were available. Seat space and comfort seriously under par. Nobody came to collect rubbish prior to landing so it remained on the floor in front of me. Did not feel like valued customers.
1463,False,10-2017,United Kingdom,,Solo Leisure,1.0,,,1,False,"Flew London to San Francisco. British Airways provided a functional, disinterested service on this ten hour flight. We were given what was necessary and certainly no more. Ignored for five hours, not even a glass of water offered and it was made clear that the staff were happy to do the bare minimum and no more. If you have to go with British Airways, do, but if you can avoid them then I would. In the interest of fairness I have informed the customer service team at British Airways of my experience - so far I have been ignored hence writing this review."
1469,False,11-2017,Saudi Arabia,,Solo Leisure,2.0,,,3,False,"London to Bahrain club world and they certainly like to pack folk into a business class cabin in a 2-4-2 configuration which is out of date and hardly worthy of business class cabin compared to the likes of Qatar, Emirates, Etihad which are far more superior. The plane was old along with a tired cabin and dirty unkempt bathroom basins that had permanent staining which need replacing. On this flight good choice of foods with attentive staff. Cost cutting was in evidence in the amenity bag you get, the presentation of food trays and the personnel service had gone. It's more akin to economy, also a real negative point is your at Heathrows newest terminal & guess what you are transported to your aircraft by buses! A shining example of what is supposed to be a modern airport. This flight is definitely not 5 star and a 3 star rating is where this airline should sit. Plane was delayed 45 mins & arrived 25 mins late so not exactly a good timekeeping record either. IFE was poor with old films that they call new releases, no where near on a par with Qatar Airways."
1475,False,11-2017,United Kingdom,Boeing 747-400,Business,2.0,B747,,1,False,"London to New York JFK in club world. After reading very mixed reviews here, I also saw that BA were upgrading standards on flights to NYC in particular and was looking forward to my flight. Should not have been so optimistic, as this is still a business class that belongs in the 1980's. Aircraft was tatty to be polite about it, worn carpets, seat with various malfunctioning or broken items, washrooms grimy from the word go. Staff tried hard to offer a modicum of good service, but the so called food improvements were really not much better than other premium economy cabins I have flown when I have to pay for the ticket. BA talk a lot about their premium standards, but even when you pay to-dollar for business class the standards are well below even their US counterparts. Complete rip-off sums it up."
1478,False,10-2017,United Kingdom,,Family Leisure,2.0,,,1,False,"I travelled to Johannesburg from London Heathrow on Sunday 22nd October on flight BA55 and my husband was meant to travel with my two daughters on the same flight on 23rd October. They were refused boarding on the grounds that children cannot travel with a single parent to South Africa. There was no such requirement on booking the tickets via BA's website and there was no notification of this by the airline at any stage. The requirement is not even on the front page of the embassy's website but well hidden under drop down menus. Usually when there are requirements like for ESTA for entry into US, BA sends a prompt. However, there was nothing in this case. BA had on its system that I (the other parent) had travelled BA already reach Johannesburg a day before. The BA counter staff at the airport refused to help my husband, who was travelling with a 4 and 7 year old with any alternative. Instead they directed to use the website to cancel tickets. After being given the wrong email address first, when finally managed to get in touch with customer relations, they refused to refund the ticket cost, only refunded taxes 25% of total. The overall service and the way it was dealt was extremely stressful at the airport and off-putting. They said they would use the complain to improve their processes but will not refund in excess of GBP 2k in tickets as they were cancelled prior to the flights upon refused boarding even the return flights and not within 24hrs of booking. Other airlines offer alternatives but here the attitude was extremely dismissive, even though both my husband and I are frequent travellers and have Silver cards of their Executive program. I will avoid travelling BA even for work after this event. Have received better treatment from low cost airlines in the past."
1483,False,10-2017,United Kingdom,,Business,1.0,,,1,False,"Singapore to London. My feedback seems to mirror many other users here - BA standards are just getting worse and worse, and I am talking about business class which I thought they would maintain? The cabin interior was worn and quite grubby, the seats terrible and now must be one of the poorest for long haul business class. The meal and presentation is really a joke, and on my previous long haul biz trip I got better food in Lufthansa premium economy. Cabin staff were quite friendly although they do hide in the galley a lot. Chatted to one of them who said so many customers are complaining and even deserting BA because of the fall in standards - I'm not surprised and I for one would not use them again for long haul. Time for senior management changes, as the present CEO clearly has no clue how to run what was once a premium airline. Now, they do little more than a low-cost and easyjet for one is far superior and nicer for short hops in Europe."
1484,False,10-2017,Australia,,Couple Leisure,2.0,,,3,True,"British Airways appear to be taking positive steps to lift their game. The service on this flight was flight was materially better than that previously experienced. The quality of the food served had lifted materially. The staff were helpful. The big downside is that Club Europe sets remains stock standard economy seats - with the middle seat blocked off. The pitch is tight - too tight in my view. Another couple of centimetres would be welcome. Overall, a better BA experience."
1523,False,10-2017,Qatar,A380,Business,2.0,A380,,3,False,"Los Angeles to Doha via London. Great staff, poor food and stupid cabin layout. I’m spoilt flying gulf airlines, but this time I tried a rear facing “internal” 4 of 345 configuration. Firstly, staring in the face of my two new best friends (seats facing forward) was at best weird, and at worst like a business class speed dating experience. Crew could barely serve me, ventilation was restricted and access 100% blocked by the foot rests of forward facing passengers. Once the security screens went up I felt like I was in some sort of flying crypt and was tempted to assume brace position to give the impression I had died and was on a viewing. The food was embarrassing bad - bigger serves of economy style food in bigger economy style bowls. BA, you have great crew trying to do their best with silly cabin engineering and poor catering support."
1525,False,09-2017,Canada,Boeing 777-200 / 787-9 / A319/ 320,Business,1.0,B777,,4,True,"Toronto to London in Premium Economy and onto Oslo in Economy. Easy check in and in the lounge within 15 mins. The usual selection of dry sandwiches, and a chicken noodle soup (minus the chicken and noodle). The lounge was clean with plenty of staff clearing away. Efficient boarding with sparking wine/soft drinks offered. Early departure, fast drink service and dinner before lights out. There was no breakfast (previously scrapped) with the cereal bar now also gone. Early arrival, a short wait for a shower in the North Lounge, followed by an ok breakfast. An early departure and an average flight on a A319. Long queues for the bathroom (only one now for all of economy as the other was removed to provide 2 more seats) with slow buy on board service though at least they made it to the last row mainly down to little take up of food or drink. Early arrival though a long wait for bags. Oslo to London on a A320 was verging on a farce, A full flight, selfish use of the overheads delayed departure whilst crew looked for space. The buy onboard came out quickly with one and then the second handheld machine dying at the first row served. Service ground to a halt whilst the crew tried to get either machine back into life, broke out the paper visa slips, took the cart back in, re-appeared 20 mins later so service started an hour into the flight. Little take up as people had given up including me as there was little time left to enjoy the purchases. The crew tried really hard, put a brave face on and kept going. The organisation and concept of the BA buy on board is a disgrace. Though a third party provides the food and card machines, the choice, stock holding and the reliability of payment machines means the service is a farce.  I don't understand why BA continue to struggle with this service as Easyjet, Ryanair and low cost carriers seem to have have to cracked it and got their act together. Early arrival and fast bags completed the flight. Final flight home to Toronto was good, the club lounge at the B gates remains quiet, clean and an oasis to relax and eat/drink before flying. The 787 was towed to the gate 45 mins before departure and was never going to leave on time. At the gate, the experience was enhanced with an upgrade to business class. Service was really slow on boarding I had to ask for champagne, and the underwhelming bag of toiletries and shades only offered after take off. We pushed back over 30 late. No signs of life from crew for another 30 mins, though a positive enhancement was tray service for drinks which felt more classy than a cart. The main of steak was excellent and looked to be on new crockery and plated after cooking (no dried gravy or potato around the edges). Afternoon tea remains underwhelming with no scones and only three sandwiches still wrapped in plastic. Overall, the decline in service seems to have stopped with some minor improvements. The crew on all four flights were pleasant but lacking confidence and experience. The desire to do things by the book results in slow and wooden service at times. Other than the farce of buy on board, I was pleased there appeared to be no further decline in service."
1531,False,09-2017,United Kingdom,,Business,2.0,,,2,False,"London Heathrow to New York. After reading reviews I was hoping some were inaccurate, but after this flight in Club World I realise that BA has fallen even lower than many have said. Check in at T5 was interminably slow with one of the most arrogant staff I have encountered for years. The lounge was crowded and dirty, and the food selection is terrible for a premium facility. Onboard, seats are old and tatty, cramped and uncomfortable and offer no privacy whatsoever. The food was passed across my neighbours seat to reach me, and what a lousy offering this was - below many airline economy meal standards. IFE screen was not working properly, fuzzy and very poor. Cabin crew were polite and trying to be friendly, but they certainly hide in the galley as soon as they can and judging from the standard of the toilets towards the end of the flight, they do not see it as part of their job to maintain these. Luckily, I am leaving the USA to Asia from Los Angeles next week on Eva Air and expecting a big step up in standards."
1558,False,08-2017,United Kingdom,,Business,1.0,,,1,False,"I had a return flight to Istanbul in Club Europe. Staff were usual BA quality however flight experience was awful. Club Europe section with no leg space. There was no inflight entertainment. Lounge in Istanbul probably one of the worst I have been to. Drinks, some cakes and pastry - nothing else. I am sorry to see that British Airways become a budget airline."
1561,False,08-2017,United Kingdom,Boeing 747-400,Couple Leisure,2.0,B747,,2,False,"Having flown First Class from London to Cape Town and Club back from Johannesburg I have really noticed a significant downgrade in BA service and standards compared to premium flights I have taken in previous years. The seats in First had crumbs on them on arrival, in Club there was sticky stuff on the arm rest which hadn't been cleaned. On the return Club flight in particular, the purser told us on the tannoy that staffing levels were low so service would be slower; on 3 occasions I had to ask for a G&T, eventually I only received it by going to the galley. It was made clear by the staff that they resented my interrupting their jokes and conversation. Food in club was average. First lounge in T3 not great: sole Elemis spa person decided to take an hour off from 1840-1940 (leaving a scribbled paper sign saying ""back in an hour"") which wasn't helpful given several long haul flights were leaving at 9pm. When I tried to book an appointment on her return, she told me she was busy and full (whilst checking Facebook on her iPhone). In terms of hard product, the Club seat just doesn't compare with rivals any more: it's way too narrow and storage space is dire. These flights were 'miles burn', I won't be accruing more avios with BA."
1578,False,08-2017,United Kingdom,A320,Couple Leisure,2.0,A320,,2,False,"Athens to Newcastle via London. Another miserable experience. Woken at 7am by text to say 13.30 flight to Heathrow cancelled for operational reasons - phone numbers listed to rearrange. One not open till 9am GMT, the Greek one no longer in use. Website also useless: 'We are experiencing technical difficulties - try again later.' 2 stressful hours later managed to get rebooked onto much later flights - but downgraded on both sectors. [Still not happy that I was involuntarily downgraded on my last BA flight at Easter!] Athens used to have a great BA lounge. Now it's provided by someone else for varied airlines and was pretty grim. Partly because it was filled with numerous disgruntled passengers also downgraded from the cancelled flight. Flights adequate but no different really to service of any budget airline. Crew apologetic about situation but clearly feel they have no voice in BA's direction. Athens ground staff were superb in dealing with unhappy people - albeit unable to say much other than to apologise and say make sure you complain / claim. BA are lucky to have such brilliant front of house staff and cabin crew - without them I'd have already deserted. Still waiting for any response from airline re EU compensation / downgrade almost 2 weeks after submitting forms / emails. This could surely be automatic [managed by most US airlines] and contrasts with a recent Air France experience of far more trivial nature where within 24 hours I'd received a voucher and a personal apology."
1599,False,07-2017,United Kingdom,Boeing 747,Business,1.0,B747,,1,False,"The London Heathrow to Accra flight is regularly late leaving LHR by 1 -2 hours (as a regular on this route for 18 years I have spent many hours delayed at LHR). Started well with BA at last choosing a gate where they can process excess hand luggage prior to the final gate check (gate 27 - rather than the far gates at T3) - hand luggage is a problem on this sector. All looked good until the gate crew lost control of the gate on seeing the door to the jetway open passengers surged forward and then blocked the entrance while the calls made for First, Gold, Business etc to come forward. It is not pleasant to have to to push forward to get to the gate as a BA premium passenger. One First class passenger told the gate assistant to ""take control back of the gate"". She blamed the passengers when actually it was just poor gate management by the staff. It was a miracle then that the flight departed on time and arrived into Accra a little early. A first for me in 18 years on the route! Once on board the crew on the top deck could not have been more friendly. A shame then for them that they have such a poor product to work with - poor food, poor seats in a layout that defies any sense, lousy cheap amenity kit and finally an inflight entertainment package that does not change month after month. Catch up with the others BA."
